PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Activity Summary,Ratio Activity,Ratio Potency (uM),Ratio Efficacy (%),530 nm Activity,530 nm Potency (uM),530 nm Efficacy (%),460 nm Activity,460 nm Potency (uM),460 nm Efficacy (%),Blue (460 nm) auto fluorescence outcome,Sample Source
RESULT_TYPE,,,,,,,STRING,STRING,FLOAT,FLOAT,STRING,FLOAT,FLOAT,STRING,FLOAT,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,Type of compound activity based on both the GR agonist mode screen and the auto fluorescence counter screens.,Type of compound activity in the ratio readout of the GR agonist mode screen.,The concentration of sample yielding half-maximal activation in the ratio readout of the GR agonist mode screen.,Percent activation in the ratio readout of the GR agonist mode screen.,Type of compound activity in the 530 nm readout of the GR agonist mode screen.,The concentration of sample yielding half-maximal activation in the 530 nm readout of the GR agonist mode screen.,Percent activation in the 530 nm readout of the GR agonist mode screen.,Type of compound activity in the 460 nm readout of the GR agonist mode screen.,The concentration of sample yielding half-maximal activation in the 460 nm readout of the GR agonist mode screen.,Percent activation in the 460 nm readout of the GR agonist mode screen.,Type of compound activity in the auto fluorescence counter screens.,Where sample was obtained.
RESULT_UNIT,,,,,,,NONE,NONE,MICROMOLAR,PERCENT,NONE,MICROMOLAR,PERCENT,NONE,MICROMOLAR,PERCENT,NONE,NONE
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,
2164,144205717,2468,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Labotest
2165,144205718,4765,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Labotest
2166,144205719,92159,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Labotest
2167,144205720,6999030,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Labotest
2168,144205721,39526,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Labotest
2169,144205722,28554,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Innovapharm
2170,144205723,11033,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Innovapharm
2171,144205724,68770,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Scientific Exchange
2172,144205725,122125,Active,43,,,active agonist,active agonist,6.74001,30.9708,inactive,,0,active agonist,12.9418,39.6384,inactive,Sequoia
2173,144205726,9927058,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,26.8325,24.7593,inactive,Sequoia
2174,144205727,5311217,Inconclusive,5,,,inconclusive,inconclusive agonist,26.8325,137.732,inconclusive antagonist,23.9145,-84.0697,inactive,,0,inactive,Sequoia
2175,144205728,65894,Inconclusive,20,,,active antagonist,active antagonist,3.8476,-23.1145,inactive,,0,active antagonist,4.25266,-45.8643,inactive,Sequoia
2176,144205729,5717,Inactive,0,,,inactive,inactive,,0,active antagonist,27.8822,-36.3132,inactive,,0,inactive,Sequoia
2177,144205730,71335,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sequoia
2178,144205731,71329,Active,51,,,active agonist,active agonist,10.28,112.053,inconclusive antagonist,,0,active agonist,11.1001,142.948,inactive,Sequoia
2179,144205732,5282136,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sequoia
2180,144205733,71339,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,,0,inactive,,0,inactive,Sequoia
2181,144205734,11954316,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sequoia
2182,144205735,119182,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,,0,inactive,,0,inactive,Sequoia
2183,144205736,446596,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2184,144205737,5281081,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,,0,inactive,,0,inactive,Sequoia
2185,144205738,134669,Inconclusive,5,,,inconclusive,inconclusive antagonist,,0,inconclusive agonist,7.56242,66.7215,inactive,,0,inactive,Sequoia
2186,144205739,5282474,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sequoia
2187,144205740,53398649,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sequoia
2188,144205741,60834,Inactive,0,,,inactive,inactive,,0,inconclusive,,0,inconclusive antagonist,26.8325,-49.4234,inactive,Sequoia
2189,144205742,5742631,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sequoia
2190,144205743,60855,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sequoia
2191,144205744,3033825,Inconclusive,5,,,inconclusive,active antagonist,,-13.4593,inactive,,0,inactive,,0,inactive,Sequoia
2192,144205745,135398508,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sequoia
2193,144205746,60877,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sequoia
2194,144205747,60854,Active,43,,,active agonist,active agonist,21.6366,51.6419,inactive,,0,active agonist,22.5767,67.4809,inactive,Sequoia
2195,144205748,60196288,Inconclusive,5,,,inconclusive,active antagonist,,-17.9434,active agonist,2.68325,34.3888,inactive,,0,inactive,Sequoia
2196,144205749,115367,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sequoia
2197,144205750,23663996,Inconclusive,5,,,inconclusive,inconclusive agonist,27.4444,28.6879,active antagonist,27.2389,-48.0119,inactive,,0,inactive,Sequoia
2198,144205751,60953,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sequoia
2199,144205752,6918296,Active,42,,,active agonist,active agonist,16.9301,36.8328,inactive,,0,active agonist,10.6822,45.2298,inactive,Sequoia
2200,144205753,104850,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sequoia
2201,144205754,3393,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sequoia
2202,144205755,176870,Active,47,,,active agonist,active agonist,20.5113,102.278,active antagonist,20.5113,-36.4272,active agonist,14.5209,77.9621,inactive,Sequoia
2203,144205756,3002190,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sequoia
2204,144205757,92727,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Bosche
2205,144205758,4496,Active,64,,,active agonist,active agonist,0.441903,99.6168,active antagonist,0.495824,-35.5389,active agonist,0.393847,86.328,inactive,Sequoia
2206,144205759,123619,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sequoia
2207,144205760,259331,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sequoia
2208,144205761,35455,Active,49,,,active agonist,active agonist,3.01065,61.4072,inactive,,0,active agonist,3.01065,61.9413,inactive,Sequoia
2209,144205762,36273,Active,43,,,active agonist,active agonist,23.0141,49.9308,inactive,,0,inconclusive agonist,23.9145,79.9148,inactive,Sequoia
2210,144205763,34001,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sequoia
2211,144205764,56649463,Active,93,,,active agonist,active agonist,0.00448597,118.396,active antagonist,0.00674001,-38.5073,active agonist,0.00356333,111.409,inactive,Sequoia
2212,144205765,121097,Inconclusive,5,,,inconclusive,inconclusive agonist,25.3315,21.9116,inactive,,0,inactive,,0,inactive,Sequoia
2213,144205766,20056587,Active,51,,,active agonist,active agonist,7.00369,96.3202,inconclusive antagonist,4.77156,-42.2652,active agonist,6.48625,98.7965,inactive,Sequoia
2214,144205767,4006,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sequoia
2215,144205768,4770,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sequoia
2216,144205769,68873,Inconclusive,5,,,inconclusive,active antagonist,,-15.645,inactive,,0,inactive,,0,inactive,Sequoia
2217,144205770,20054835,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sequoia
2218,144205771,152951,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sequoia
2219,144205772,444025,Active,69,,,active agonist,active agonist,0.0816571,91.0125,inconclusive antagonist,0.0284224,-28.7725,active agonist,0.129418,115.647,inactive,Sequoia
2220,144205773,444020,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sequoia
2221,144205774,175804,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sequoia
2222,144205775,60196289,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sequoia
2223,144205776,3936,Active,44,,,active agonist,active agonist,16.9301,57.9608,inactive,,0,active agonist,15.089,79.8421,inactive,Sequoia
2224,144205777,14010333,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sequoia
2225,144205778,3191,Inconclusive,5,,,inconclusive,active agonist,24.85,200.476,active antagonist,16.2927,-91.0101,active antagonist,15.089,-43.0895,inactive,Sequoia
2226,144205779,23663976,Inconclusive,5,,,inconclusive,active antagonist,,-19.0329,inconclusive agonist,1.34481,37.3838,inactive,,0,inactive,Sequoia
2227,144205780,2176,Active,51,,,active agonist,active agonist,7.85827,97.1665,inconclusive antagonist,1.89959,-26.6504,active agonist,7.85827,85.9938,inactive,Sequoia
2228,144205781,26650,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Scientific Exchange
2229,144205782,23680486,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Labotest
2230,144205783,23706211,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Labotest
2231,144205784,50248,Inconclusive,5,,,inconclusive,active agonist,19.2837,192.513,active antagonist,11.2682,-92.8284,active antagonist,3.37801,-27.4799,inactive,InterBioScreen
2232,144205785,3033968,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,InterBioScreen
2233,144205786,3778,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Timtec
2234,144205787,1584822,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,InterBioScreen
2235,144205788,65947,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,InterBioScreen
2236,144205789,60164,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sequoia
2237,144205790,135400182,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sequoia
2238,144205791,2187,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sequoia
2239,144205792,4410,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sequoia
2240,144205793,71489,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sequoia
2241,144205794,71616,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sequoia
2242,144205795,5282402,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sequoia
2243,144205796,60871,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sequoia
2244,144205797,23663992,Inconclusive,5,,,inconclusive,active antagonist,,-15.0062,inconclusive agonist,0.756242,28.6793,inactive,,0,inactive,Sequoia
2245,144205798,91274,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sequoia
2246,144205799,441401,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sequoia
2247,144205800,71916,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sequoia
2248,144205801,135398748,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sequoia
2249,144205802,60196290,Inconclusive,5,,,inconclusive,inconclusive,,0,inconclusive antagonist,30.1065,-46.4744,inconclusive antagonist,23.9145,-63.6044,inactive,Sequoia
2250,144205803,444008,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sequoia
2251,144205804,4499,Inconclusive,5,,,inconclusive,inconclusive antagonist,,-14.5723,inactive,,0,inactive,,0,inactive,Sequoia
2252,144205805,54585,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sequoia
2253,144205806,60196291,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NeoSystem
2254,144205807,122188,Inconclusive,5,,,inconclusive,inconclusive antagonist,,0,inconclusive agonist,,0,inactive,,0,inactive,Sequoia
2255,144205808,518605,Inconclusive,5,,,inconclusive,active agonist,16.2927,21.3397,inactive,,0,inactive,,0,inactive,SigmaAldrich
2256,144205809,71384,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
2257,144205810,454216,Active,45,,,active agonist,active agonist,8.16571,49.3683,inactive,,0,active agonist,5.67101,45.5793,inactive,NCI
2258,144205811,3033226,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
2259,144205812,2898,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Bosche
2260,144205813,16219127,Inconclusive,5,,,inconclusive,active agonist,,14.0993,inactive,,0,inactive,,0,inactive,SIGMA
2261,144205814,17756794,Inactive,0,,,inactive,inactive,,0,inactive,,0,active agonist,4.99169,34,inactive,BIOMOL
2262,144205815,54343,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2263,144205816,157313,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2264,144205817,6918305,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2265,144205818,38102,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive,SigmaAldrich
2266,144205819,11705034,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2267,144205820,129228,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2268,144205821,6536,Inconclusive,5,,,inconclusive,active agonist,26.2134,49.2376,active antagonist,28.3046,-74.0844,active antagonist,26.2134,-35.4622,inactive,SigmaAldrich
2269,144205822,5502,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2270,144205823,60196293,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,,0,inactive,,0,inactive,SIGMA
2271,144205824,16051941,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,0.973765,28.4907,inactive,SIGMA
2272,144205825,9838712,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2273,144205826,59708,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2274,144205827,9386,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,FLUKA
2275,144205828,7147,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,FLUKA
2276,144205829,7291,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,,0,inactive,,0,inactive,FLUKA
2277,144205830,8089,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,FLUKA
2278,144205831,3571582,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,FLUKA
2279,144205832,444539,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,FLUKA
2280,144205833,13506,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,FLUKA
2281,144205834,9528,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,FLUKA
2282,144205835,1018,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,FLUKA
2283,144205836,2734672,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,FLUKA
2284,144205837,16683095,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,FLUKA
2285,144205838,7533,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,FLUKA
2286,144205839,3730,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,FLUKA
2287,144205840,2733208,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,FLUKA
2288,144205841,12447,Inconclusive,5,,,inconclusive,active agonist,,16.9489,active antagonist,13.6518,-31.2239,inactive,,0,inactive,FLUKA
2289,144205842,23674,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,FLUKA
2290,144205843,261501,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,FLUKA
2291,144205844,28145,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,FLUKA
2292,144205845,11914,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,FLUKA
2293,144205846,8926,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,FLUKA
2294,144205847,6494,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,FLUKA
2295,144205848,5497,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,FLUKA
2296,144205849,220401,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,,0,inconclusive agonist,,0,inactive,FLUKA
2297,144205850,37511,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,FLUKA
2298,144205851,71648,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,FLUKA
2299,144205852,69188,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,FLUKA
2300,144205853,16682993,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,FLUKA
2301,144205854,2723617,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,FLUKA
2302,144205855,16957,Inconclusive,5,,,inconclusive,inconclusive agonist,15.089,156.572,active antagonist,16.9301,-97.8558,active antagonist,15.089,-73.3579,inactive,FLUKA
2303,144205856,14552708,Inconclusive,5,,,inconclusive,active agonist,28.3046,38.1843,active antagonist,29.4119,-64.659,active antagonist,28.3046,-34.8475,inactive,FLUKA
2304,144205857,99288,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,FLUKA
2305,144205858,11474,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,FLUKA
2306,144205859,19958,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,FLUKA
2307,144205860,62330,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,FLUKA
2308,144205861,70914,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,FLUKA
2309,144205862,10982,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,FLUKA
2310,144205863,93176,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,FLUKA
2311,144205864,451668,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,FLUKA
2312,144205865,14776,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,FLUKA
2313,144205866,308,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,,0,inactive,,0,inactive,FLUKA
2314,144205867,440966,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,FLUKA
2315,144205868,68651,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,FLUKA
2316,144205869,439240,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,FLUKA
2317,144205870,863,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,FLUKA
2318,144205871,7191,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,FLUKA
2319,144205872,16976,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,FLUKA
2320,144205873,5756,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,FLUKA
2321,144205874,62827,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,FLUKA
2322,144205875,65057,Inconclusive,5,,,inconclusive,inconclusive antagonist,,-19.2584,inactive,,0,inactive,,0,inactive,FLUKA
2323,144205876,11048,Inconclusive,5,,,inconclusive,inconclusive antagonist,,-18.505,active agonist,19.2837,39.7313,inactive,,0,inactive,Labotest
2324,144205877,16682738,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,FLUKA
2325,144205878,31018,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,FLUKA
2326,144205879,31280,Inconclusive,5,,,inconclusive,inconclusive agonist,21.3138,80.6187,active antagonist,18.5577,-93.6101,active antagonist,10.6822,-40.5078,inactive,FLUKA
2327,144205880,14250,Inconclusive,5,,,inconclusive,active agonist,26.2134,107.058,active antagonist,17.9333,-88.9993,active antagonist,17.1866,-43.6394,inactive,FLUKA
2328,144205881,9639,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,FLUKA
2329,144205882,7652,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,FLUKA
2330,144205883,8567,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,FLUKA
2331,144205884,9403,Inconclusive,5,,,inconclusive,inconclusive,,0,inconclusive antagonist,26.8325,-88.0383,active antagonist,11.9856,-31.1764,inactive,SIGMA
2332,144205885,6324663,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
2333,144205886,9270,Inactive,0,,,inactive,inactive,,0,inconclusive antagonist,26.8325,-38.2333,active antagonist,26.8325,-30.5498,inactive,SIGMA
2334,144205887,14130,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
2335,144205888,82325,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
2336,144205889,5282409,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
2337,144205890,23603,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
2338,144205891,3033877,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2339,144205892,12004215,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2340,144205893,9046,Inactive,0,,,inactive,inactive,,0,inconclusive antagonist,28.4224,-52.3728,inconclusive antagonist,28.4224,-35.3017,inactive,SIGMA
2341,144205894,5311071,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
2342,144205895,3034287,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,RIEDEL
2343,144205896,37907,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,RIEDEL
2344,144205897,8313,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,RIEDEL
2345,144205898,15583,Inactive,0,,,inactive,inactive,,0,inconclusive antagonist,26.8325,-42.5186,inactive,,0,inactive,RIEDEL
2346,144205899,65651,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,RIEDEL
2347,144205900,4807,Inconclusive,10,,,inconclusive antagonist,inconclusive antagonist,,0,inconclusive antagonist,8.48517,-29.6914,inconclusive antagonist,15.089,-61.2435,inactive,FLUKA
2348,144205901,38072,Inconclusive,30,,,inconclusive agonist (fluorescent),active agonist,20.0381,92.7901,inactive,,0,active agonist,22.4831,178.057,fluorescent,FLUKA
2349,144205902,441375,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,FLUKA
2350,144205903,12008,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2351,144205904,21414,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2352,144205905,31209,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2353,144205906,9873,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2354,144205907,9509,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2355,144205908,43961,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2356,144205909,6950248,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2357,144205910,2728761,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Maybridge
2358,144205911,137601,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2359,144205912,55251,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2360,144205913,8138,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2361,144205914,8797,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2362,144205915,2723920,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2363,144205916,71668,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2364,144205917,31593,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2365,144205918,7402,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2366,144205919,8820,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2367,144205920,9370,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2368,144205921,8026,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2369,144205922,17113,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2370,144205923,5284343,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2371,144205924,9849425,Inconclusive,30,,,inconclusive agonist (fluorescent),active agonist,8.98795,73.8055,inconclusive antagonist,4.77156,-28.4449,active agonist,9.52052,59.7957,fluorescent,SigmaAldrich
2372,144205925,6581,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2373,144205926,5709754,Inactive,0,,,inactive,inactive,,0,inconclusive antagonist,23.9145,-55.056,active antagonist,25.2265,-38.6001,inactive,SigmaAldrich
2374,144205927,91525,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2375,144205928,19731,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2376,144205929,33039,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2377,144205930,88836,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2378,144205931,243274,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2379,144205932,62531,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2380,144205933,64184,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2381,144205934,33919,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
