CID	Activity	MolecularWeight	HeavyAtomCount	RotatableBondCount	Complexity	XLogP	TPSA	HBondDonorCount	HBondAcceptorCount
2155	Inactive	100.140000	6	0	48.1	0.400	67.2	1	3
2159	Inactive	369.500000	25	7	549.0	1.500	110.0	2	6
2161	Inactive	298.290000	22	2	467.0	3.1	103.0	2	6
2164	Inactive	226.270000	16	4	303.0	2.100	75.3	2	3
2165	Inactive	355.900000	25	6	406.0	2.600	48.4	2	4
2176	Active agonist	447.500000	31	8	808.0	4.000	133.0	1	9
2178	Inactive	243.330000	18	4	246.0	2.1	55.7	1	3
2194	Active antagonist	240.400000	14	2	254.0	2.8	91.9	0	4
2196	Inactive	219.240000	16	2	282.0	1.600	46.6	0	3
2197	Inactive	252.260000	19	2	344.0	2.900	43.4	0	3
2200	Inactive	265.350000	20	5	314.0	2.6	27.6	1	2
2201	Inactive	222.240000	17	1	277.0	3.800	37.3	1	2
2206	Inactive	188.230000	14	1	267.0	0.400	23.6	0	2
2216	Inactive	245.110000	15	2	247.0	1.300	62.4	3	2
2225	Active antagonist	388.400000	28	7	748.0	2.000	128.0	1	8
2227	Inactive	172.230000	12	5	145.0	-2.2	129.0	4	2
2230	Inactive	155.190000	11	2	187.0	0.300	29.5	0	3
2239	Inactive	371.500000	23	8	406.0	2.3	170.0	3	7
2244	Inactive	180.160000	13	3	212.0	1.200	63.6	1	4
2249	Inactive	266.340000	19	8	263.0	0.200	84.6	3	4
2256	Inactive	215.680000	14	4	166.0	2.600	62.7	2	5
2264	Inactive	349.800000	24	2	523.0	1.6	61.9	1	4
2266	Inactive	188.220000	13	8	147.0	1.600	74.6	2	4
2267	Inactive	381.900000	27	3	558.0	4.4	35.9	0	3
2272	Inactive	182.220000	14	2	157.0	3.800	24.7	0	2
2273	Inactive	370.800000	23	5	504.0	1.5	163.0	3	8
2277	Inactive	181.230000	13	1	176.0	0.8	55.3	1	4
2284	Inactive	213.660000	14	4	191.0	-1.000	63.3	2	3
2292	Inactive	209.280000	15	6	156.0	0.600	52.5	3	3
2294	Inactive	184.190000	13	2	247.0	0.600	75.3	2	3
2310	Inactive	155.190000	11	1	182.0	0.7	46.2	1	2
2313	Inactive	282.290000	21	5	357.0	3.1	64.4	1	4
2315	Inactive	421.400000	27	3	740.0	1.200	135.0	3	10
2320	Active agonist	466.400000	31	10	697.0	0.5	181.0	3	10
2327	Inactive	257.240000	18	5	278.0	-1.3	148.0	7	7
2328	Inactive	240.280000	16	1	385.0	2.800	74.9	1	4
2331	Inactive	121.140000	9	1	106.0	0.600	43.1	1	1
2332	Inactive	120.150000	9	1	104.0	0.700	49.9	2	1
2336	Active agonist	252.300000	20	0	372.0	6.000	0.0	0	0
2337	Inactive	165.190000	12	3	151.0	1.900	52.3	1	3
2343	Inactive	431.900000	26	5	739.0	1.700	161.0	2	7
2345	Inactive	212.240000	16	4	213.0	4.000	26.3	0	2
2346	Inactive	149.210000	10	2	132.0	3.200	44.4	0	2
2347	Inactive	312.400000	23	9	374.0	4.900	52.6	0	4
2348	Inactive	387.900000	24	3	653.0	0.900	135.0	3	7
2351	Inactive	366.500000	27	10	382.0	5.3	15.7	0	3
2355	Inactive	216.190000	16	1	325.0	2.3	48.7	0	4
2365	Inactive	72.060000	5	0	57.9	-0.2	26.3	0	2
2368	Inactive	177.250000	13	4	160.0	0.900	36.4	2	1
2369	Inactive	307.400000	22	11	286.0	2.800	50.7	2	4
2370	Inactive	161.220000	11	4	140.0	0.0	52.3	1	2
2372	Inactive	345.400000	25	10	355.0	3.000	60.0	2	5
2374	Active antagonist	222.320000	16	2	208.0	4.6	40.5	2	2
2377	Inactive	269.400000	20	8	238.0	4.1	21.3	1	2
2381	Inactive	311.500000	23	5	422.0	4.300	23.5	1	2
2405	Inactive	325.400000	23	12	278.0	1.900	60.0	2	5
2431	Inactive	243.160000	13	3	156.0	2.8	0.0	0	0
2435	Inactive	292.130000	17	2	308.0	0.6	62.2	2	3
2442	Inactive	376.130000	18	3	256.0	4.3	29.3	1	2
2446	Inactive	344.250000	20	7	300.0	2.800	67.6	2	4
2448	Inactive	420.300000	26	6	451.0	3.300	40.5	1	4
2449	Inactive	354.400000	26	8	633.0	4.4	71.4	1	4
2450	Inactive	199.990000	9	2	107.0	-0.6	86.3	2	4
2451	Active antagonist	393.700000	22	1	465.0	2.800	71.3	0	4
2453	Active antagonist	302.950000	13	0	191.0	3.2	33.1	1	2
2461	Inactive	266.340000	19	4	375.0	2.900	66.5	1	3
2466	Inactive	223.270000	16	6	200.0	1.9	58.6	2	3
2468	Inactive	157.220000	11	4	156.0	-0.6	103.0	3	1
2471	Inactive	364.400000	25	8	528.0	2.8	127.0	3	7
2472	Inactive	373.400000	27	5	494.0	2.200	93.8	1	7
2477	Inactive	385.500000	28	6	529.0	2.600	69.6	0	6
2480	Inactive	306.400000	22	12	281.0	4.500	55.6	1	4
2515	Inactive	283.330000	20	8	292.0	1.0	99.6	3	7
2518	Inactive	180.160000	13	2	212.0	1.200	77.8	3	4
2528	Inactive	627.940000	21	3	448.0	1.9	86.7	2	4
2536	Inactive	398.400000	29	9	602.0	1.1	137.0	2	6
2537	Inactive	152.230000	11	0	217.0	2.2	17.1	0	1
2551	Inactive	147.200000	10	4	117.0	-0.4	52.3	1	2
2557	Inactive	236.230000	17	1	336.0	0.0	112.0	3	5
2562	Inactive	333.500000	24	11	356.0	3.8	38.8	0	4
2564	Inactive	290.790000	20	6	267.0	2.9	25.4	0	3
2566	Inactive	221.250000	16	2	277.0	2.300	47.6	1	3
2568	Inactive	144.120000	10	2	164.0	0.4	74.6	2	4
2576	Inactive	260.330000	18	9	281.0	1.900	90.6	2	4
2578	Inactive	214.050000	12	4	156.0	1.500	61.8	1	3
2581	Inactive	273.710000	19	2	362.0	4.0	53.1	2	2
2582	Inactive	160.230000	11	5	127.0	0.800	26.3	0	2
2583	Inactive	292.370000	21	6	354.0	1.0	70.6	3	4
2585	Inactive	406.500000	30	10	508.0	4.200	75.7	3	5
2663	Inactive	379.500000	27	10	474.0	1.900	90.9	3	5
2680	Inactive	305.400000	22	7	369.0	-0.4	89.6	2	5
2682	Inactive	242.440000	17	14	123.0	7.300	20.2	1	1
2707	Inactive	165.400000	7	0	56.4	1.000	40.5	2	2
2708	Inactive	304.200000	19	9	250.0	1.700	40.5	1	3
2710	Inactive	300.800000	21	3	300.0	4.500	6.5	0	2
2712	Inactive	299.750000	21	1	580.0	2.400	48.2	1	3
2717	Inactive	273.740000	17	1	395.0	1.1	62.8	0	3
2719	Inactive	319.900000	22	8	309.0	4.600	28.2	1	3
2720	Inactive	295.700000	17	1	532.0	-0.200	135.0	2	6
2722	Active antagonist	214.040000	13	0	191.0	3.500	33.1	1	2
2724	Inactive	245.660000	16	6	219.0	1.2	81.8	2	4
2725	Inactive	274.790000	19	5	249.0	3.400	16.1	0	2
2727	Inactive	276.740000	17	4	345.0	2.300	83.6	2	3
2728	Inactive	213.660000	14	3	197.0	3.500	38.3	1	2
2730	Inactive	350.600000	18	6	303.0	5.300	72.7	0	5
2732	Inactive	338.800000	22	2	564.0	0.9	118.0	3	5
2733	Inactive	169.560000	11	0	185.0	1.800	38.3	1	2
2741	Inactive	190.150000	14	1	305.0	1.600	63.6	1	4
2747	Inactive	262.300000	20	3	357.0	2.7	24.4	1	1
2749	Active antagonist	207.270000	15	1	325.0	2.0	40.5	1	2
2753	Inactive	342.400000	25	6	499.0	2.9	58.6	1	3
2754	Inactive	369.500000	27	7	485.0	3.1	81.9	1	5
2755	Inactive	219.280000	16	4	258.0	1.700	82.1	3	4
2756	Inactive	252.340000	17	7	296.0	0.400	114.0	3	4
2758	Inactive	154.250000	11	0	164.0	2.500	9.2	0	1
2762	Inactive	262.220000	19	2	449.0	2.1	88.4	1	7
2763	Inactive	289.150000	18	4	333.0	3.4	46.5	1	3
2764	Inactive	331.340000	24	3	571.0	-1.100	72.9	2	7
2765	Inactive	216.280000	16	4	273.0	1.8	33.6	1	2
2769	Inactive	465.900000	32	9	581.0	3.4	86.0	2	7
2775	Inactive	206.190000	15	2	274.0	1.9	44.8	0	4
2780	Inactive	373.900000	26	5	450.0	3.2	67.6	2	4
2782	Inactive	325.800000	23	4	377.0	4.0	21.1	0	2
2783	Inactive	277.190000	17	4	233.0	2.2	58.3	3	3
2784	Inactive	352.400000	26	5	482.0	3.3	46.5	1	3
2787	Inactive	468.600000	34	10	633.0	7.5	93.1	2	6
2788	Active antagonist	305.500000	13	0	193.0	3.500	33.1	1	2
2789	Inactive	300.740000	21	1	423.0	2.100	40.6	0	2
2795	Inactive	289.800000	20	5	291.0	3.6	23.5	1	2
2797	Inactive	214.640000	14	3	207.0	2.600	46.5	1	3
2798	Inactive	339.000000	23	13	267.0	7.2	0.0	0	0
2803	Inactive	230.090000	14	2	222.0	1.600	36.4	2	1
2804	Inactive	345.800000	22	3	498.0	2.3	101.0	2	5
2805	Inactive	329.900000	23	6	318.0	4.8	12.5	0	2
2810	Inactive	213.700000	14	4	163.0	2.1	32.3	2	2
2817	Inactive	179.600000	12	0	165.0	2.900	33.1	1	2
2879	Inactive	108.140000	8	0	62.8	1.900	20.2	1	1
2882	Inactive	468.400000	34	8	835.0	1.900	166.0	3	11
2883	Inactive	203.280000	15	3	235.0	2.8	20.3	0	1
2893	Active agonist	276.400000	20	4	331.0	4.200	46.5	1	3
2895	Inactive	275.400000	21	3	365.0	5.200	3.2	0	1
2898	Inactive	364.400000	27	6	503.0	5.5	52.6	0	4
2904	Inactive	379.900000	23	3	637.0	1.300	135.0	3	7
2907	Inactive	261.080000	14	5	212.0	0.600	41.6	1	4
2910	Inactive	389.900000	24	2	758.0	2.000	135.0	3	7
2952	Inactive	314.250000	23	3	524.0	1.700	121.0	1	6
2955	Inactive	248.300000	17	2	306.0	1.000	94.6	2	4
2966	Inactive	175.230000	13	1	202.0	0.800	53.1	2	1
2968	Inactive	258.490000	18	11	164.0	3.9	0.0	0	0
2972	Inactive	139.150000	10	0	228.0	0.5	40.5	1	3
2973	Inactive	560.700000	39	23	739.0	-2.1	206.0	6	9
2995	Inactive	266.400000	20	4	267.0	4.900	15.3	1	2
2997	Active antagonist	270.710000	19	1	376.0	2.900	41.5	1	2
3009	Inactive	182.170000	12	5	166.0	-2.9	89.3	3	6
3016	Active antagonist	284.740000	20	1	403.0	3.000	32.7	0	2
3017	Inactive	304.350000	19	7	307.0	3.800	85.6	0	6
3019	Inactive	230.670000	14	0	360.0	1.200	66.9	1	3
3023	Inactive	184.260000	13	0	170.0	4.400	28.2	0	1
3024	Inactive	173.830000	3	0	2.8	1.8	0.0	0	0
3025	Inactive	343.500000	25	10	387.0	4.400	54.5	1	4
3026	Inactive	278.340000	20	10	271.0	4.700	52.6	0	4
3031	Inactive	172.010000	10	0	150.0	2.700	23.8	0	1
3038	Inactive	305.200000	16	2	452.0	0.3	137.0	2	6
3042	Inactive	309.500000	22	8	326.0	5.5	29.5	0	3
3055	Inactive	309.400000	23	6	307.0	4.2	23.5	1	2
3073	Inactive	180.180000	11	4	140.0	0.600	35.5	0	3
3078	Inactive	323.400000	24	4	493.0	3.600	38.8	0	4
3080	Active antagonist	124.230000	6	2	32.0	0.2	22.2	3	3
3081	Inactive	129.110000	9	0	173.0	0.1	55.4	1	3
3082	Inactive	229.300000	12	5	191.0	0.800	105.0	1	5
3089	Inactive	391.600000	26	5	576.0	3.800	77.5	0	6
3090	Inactive	141.130000	10	0	144.0	0.100	63.6	0	3
3092	Inactive	225.160000	16	1	321.0	0.700	135.0	1	5
3103	Inactive	281.400000	21	4	268.0	3.9	12.5	0	2
3105	Inactive	351.400000	25	9	463.0	2.9	84.9	2	6
3111	Inactive	311.360000	21	4	546.0	0.000	89.5	1	6
3114	Inactive	339.500000	25	8	409.0	3.2	59.2	1	3
3118	Inactive	274.400000	14	9	168.0	4.000	101.0	0	5
3120	Inactive	233.090000	14	1	211.0	2.700	32.3	1	1
3121	Inactive	144.210000	10	5	93.4	2.800	37.3	1	2
3151	Inactive	425.900000	30	5	655.0	3.900	67.9	2	3
3152	Inactive	379.500000	28	6	510.0	4.3	38.8	0	4
3156	Inactive	378.500000	28	6	487.0	3.3	32.8	0	3
3157	Inactive	451.500000	33	4	678.0	2.500	112.0	1	9
3162	Inactive	270.370000	20	6	276.0	2.500	25.4	0	3
3166	Inactive	317.500000	23	9	329.0	5.3	29.5	0	3
3168	Inactive	379.400000	28	6	615.0	3.500	52.6	1	4
3169	Inactive	236.310000	17	4	212.0	0.6	46.9	2	4
3182	Inactive	254.240000	18	3	364.0	-1.800	98.9	2	5
3202	Inactive	166.240000	12	2	145.0	1.8	20.2	1	1
3219	Inactive	302.400000	22	5	341.0	2.2	33.5	0	4
3226	Inactive	184.490000	10	3	107.0	2.100	9.2	0	6
3229	Inactive	320.320000	23	3	521.0	-0.200	85.8	2	8
3236	Inactive	259.400000	19	5	275.0	3.8	20.3	0	2
3241	Inactive	249.310000	19	0	378.0	3.500	41.6	1	1
3242	Inactive	234.250000	17	3	254.0	1.300	62.1	0	5
3245	Inactive	380.500000	28	9	450.0	3.7	32.8	0	4
3259	Inactive	835.900000	29	0	645.0	6.0	76.0	2	5
3261	Inactive	294.740000	21	1	407.0	1.700	43.1	0	3
3275	Inactive	325.400000	24	10	348.0	4.2	29.5	0	3
3276	Inactive	214.180000	15	4	242.0	-1.300	113.0	2	5
3277	Inactive	289.330000	21	6	397.0	2.1	81.4	1	6
3282	Inactive	165.190000	12	3	159.0	1.200	52.3	1	2
3286	Inactive	384.500000	19	12	279.0	5.100	152.0	0	8
3289	Inactive	242.300000	13	8	152.0	3.600	76.9	0	4
3290	Inactive	312.500000	22	5	322.0	4.800	31.8	0	3
3291	Inactive	141.170000	10	1	188.0	0.400	46.2	1	2
3292	Inactive	204.220000	15	2	272.0	1.000	49.4	1	2
3293	Inactive	217.310000	16	2	283.0	3.1	21.3	1	2
3300	Inactive	290.360000	21	6	345.0	3.100	58.6	1	4
3301	Inactive	60.100000	4	1	6.0	-2.000	52.0	2	2
3305	Inactive	206.030000	11	2	211.0	-3.7	135.0	5	7
3306	Inactive	181.230000	13	4	141.0	0.100	52.5	3	3
3307	Active antagonist	342.800000	23	2	474.0	2.600	71.3	0	4
3308	Inactive	287.350000	21	4	400.0	2.8	62.3	2	3
3309	Inactive	379.500000	28	7	500.0	4.000	44.8	1	4
3314	Inactive	164.200000	12	3	145.0	2.000	29.5	1	2
3315	Inactive	872.900000	58	9	1840.0	4.4	393.0	8	20
3316	Inactive	221.290000	16	7	206.0	3.200	52.3	1	2
3324	Inactive	321.330000	23	9	404.0	0.000	122.0	1	8
3325	Inactive	337.500000	20	7	469.0	-0.600	238.0	4	8
3326	Inactive	377.500000	28	7	558.0	5.0	26.8	0	3
3331	Inactive	238.240000	17	7	246.0	0.6	105.0	2	4
3332	Inactive	212.240000	16	3	223.0	3.000	37.3	1	2
3333	Active antagonist	384.200000	25	6	614.0	3.900	64.6	1	5
3335	Inactive	254.280000	19	5	310.0	3.200	54.4	1	3
3337	Inactive	231.260000	16	4	203.0	3.400	12.0	1	4
