PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,W460-Curve_Description,W460-Fit_LogAC50,W460-Fit_HillSlope,W460-Fit_R2,W460-Fit_InfiniteActivity,W460-Fit_ZeroActivity,W460-Fit_CurveClass,W460-Excluded_Points,W460-Max_Response,W460-Activity at 0.0004339325 uM,W460-Activity at 0.00129 uM,W460-Activity at 0.00384 uM,W460-Activity at 0.00491 uM,W460-Activity at 0.012 uM,W460-Activity at 0.034 uM,W460-Activity at 0.057 uM,W460-Activity at 0.106 uM,W460-Activity at 0.314 uM,W460-Activity at 0.650 uM,W460-Activity at 0.975 uM,W460-Activity at 2.847 uM,W460-Activity at 4.858 uM,W460-Activity at 8.475 uM,W460-Activity at 24.77 uM,W460-Activity at 36.32 uM,W460-Activity at 76.79 uM,W460-Activity at 182.0 uM,W460-Activity at 407.0 uM,W460-Activity at 910.0 uM,W460-Activity at 2034.7 uM,W460-Activity at 4832.4 uM,W460-Activity at 10805.3 uM,W460-Activity at 24160.5 uM,W460-Activity at 54023.0 uM,Ratio-Curve_Description,Ratio-Fit_LogAC50,Ratio-Fit_HillSlope,Ratio-Fit_R2,Ratio-Fit_InfiniteActivity,Ratio-Fit_ZeroActivity,Ratio-Fit_CurveClass,Ratio-Excluded_Points,Ratio-Max_Response,Ratio-Activity at 0.0004339325 uM,Ratio-Activity at 0.00129 uM,Ratio-Activity at 0.00384 uM,Ratio-Activity at 0.00491 uM,Ratio-Activity at 0.012 uM,Ratio-Activity at 0.034 uM,Ratio-Activity at 0.057 uM,Ratio-Activity at 0.106 uM,Ratio-Activity at 0.314 uM,Ratio-Activity at 0.650 uM,Ratio-Activity at 0.975 uM,Ratio-Activity at 2.847 uM,Ratio-Activity at 4.858 uM,Ratio-Activity at 8.475 uM,Ratio-Activity at 24.77 uM,Ratio-Activity at 36.32 uM,Ratio-Activity at 76.79 uM,Ratio-Activity at 182.0 uM,Ratio-Activity at 407.0 uM,Ratio-Activity at 910.0 uM,Ratio-Activity at 2034.7 uM,Ratio-Activity at 4832.4 uM,Ratio-Activity at 10805.3 uM,Ratio-Activity at 24160.5 uM,Ratio-Activity at 54023.0 uM,W530-Curve_Description,W530-Fit_LogAC50,W530-Fit_HillSlope,W530-Fit_R2,W530-Fit_InfiniteActivity,W530-Fit_ZeroActivity,W530-Fit_CurveClass,W530-Excluded_Points,W530-Max_Response,W530-Activity at 0.0004339325 uM,W530-Activity at 0.00129 uM,W530-Activity at 0.00384 uM,W530-Activity at 0.00491 uM,W530-Activity at 0.012 uM,W530-Activity at 0.034 uM,W530-Activity at 0.057 uM,W530-Activity at 0.106 uM,W530-Activity at 0.314 uM,W530-Activity at 0.650 uM,W530-Activity at 0.975 uM,W530-Activity at 2.847 uM,W530-Activity at 4.858 uM,W530-Activity at 8.475 uM,W530-Activity at 24.77 uM,W530-Activity at 36.32 uM,W530-Activity at 76.79 uM,W530-Activity at 182.0 uM,W530-Activity at 407.0 uM,W530-Activity at 910.0 uM,W530-Activity at 2034.7 uM,W530-Activity at 4832.4 uM,W530-Activity at 10805.3 uM,W530-Activity at 24160.5 uM,W530-Activity at 54023.0 uM,Compound QC
882,17389542,2788,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/nucrecep-gr-hela-agonist-ntp-p1/AB07935671-01/24052342,,Inconclusive,50.1187,49.7763,,,,,,,,4,,-14.2685,6.2398,,2.0974,,0.236,-2.4277,1.343,1.9125,-4.9468,4.5424,-0.3825,,-4.5018,7.5338,2.4199,-1.7658,-14.2685,,,,,,,,,,,,,,,4,,-0.5734,2.1144,,-0.1476,,-0.7936,3.3775,1.9532,0.4154,-3.8259,2.1508,0.5122,,5.376,0.6467,-1.1067,-3.5393,-0.5734,,,,,,,,,Single point of activity,-4.3,4.9549,0.7421,-49.1643,0.6121,-3,0 0 0 0 0 0 0 0 0 1 0 0 1 0,-43.8402,7.5571,,-1.166,,3.2337,-14.933,-4.2991,0.3922,-4.5597,2.9608,-5.2603,,-26.2376,15.0392,5.0974,9.6703,-43.8402,,,,,,,,,QC'd by NIEHS/NTP
883,17389543,14749,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-gr-hela-agonist-ntp-p1/AB08082717-01/24051727,,Inactive,,,,,,,,,,4,,-11.9222,-4.1872,,-6.5004,,-15.9032,-12.5801,-6.6212,-5.1576,-16.4196,-0.9367,-5.6841,,-8.513,-5.6476,-3.9684,-8.9745,-11.9222,,,,,,,,,,,,,,,4,,-7.9607,-6.6817,,1.5993,,3.8897,5.1793,-7.2614,-4.5363,0.1678,4.8564,-10.3139,,-7.9905,-2.8356,-5.5287,-1.077,-7.9607,,,,,,,,,,,,,,,4,,-18.3121,-0.4813,,-31.3504,,-44.9352,-41.9076,-5.8201,-12.1484,-44.4944,-24.0253,7.2625,,-5.8454,-20.8059,-8.2081,-26.4683,-18.3121,,,,,,,,,QC'd by NIEHS/NTP
884,17389544,2720,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-gr-hela-agonist-ntp-p1/AB07944707-01/24051688,,Inactive,,,,,,,,,,4,,-11.8153,-4.7409,,-5.4984,,-8.1167,-17.8858,-3.5919,-10.7067,-10.2799,-15.3618,-10.2528,,-7.518,-6.9841,-8.3201,-14.1399,-11.8153,,,,,,,,,,,,,,,4,,-3.7912,2.1204,,-3.9647,,-1.2734,-3.189,-1.4172,5.4603,-0.0039,10.638,-0.2658,,3.3663,-3.5501,-2.457,-1.7852,-3.7912,,,,,,,,,,,,,,,4,,-9.6492,-12.6036,,-0.3508,,-11.2895,-27.1584,1.8366,-36.7355,-22.8245,-55.6673,-19.9178,,-19.0549,-2.9892,-11.2211,-23.9628,-9.6492,,,,,,,,,QC'd by NIEHS/NTP
885,17389545,2662,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/nucrecep-gr-hela-agonist-ntp-p1/AB08001735-01/24051413,,Inconclusive,28.1838,50.9653,,,,,,,,4,,-7.5306,-3.7281,,-9.7303,,-3.879,-7.2168,-2.4165,-2.7188,-1.4504,-1.7176,-5.7228,,-4.4882,-2.3395,-3.9362,-13.6133,-7.5306,,,,,,,,,,,,,,,4,,-4.3986,-3.521,,-1.2553,,-2.9006,-1.0963,-3.3379,-5.2433,-2.9809,-1.5284,-4.1633,,-4.5106,-3.0148,-4.2115,-0.389,-4.3986,,,,,,,,,Partial curve; partial efficacy; poor fit,-4.55,3.9295,0.8723,-55.6125,-4.6471,-2.4,0 1 0 1 0 0 0 0 0 0 0 0 0 1,-14.2403,-7.358,,-37.322,,-7.8828,-21.3232,-3.4302,2.7504,-6.3269,-9.3596,-11.3401,,-0.6522,-10.0505,-10.5816,-43.7211,-14.2403,,,,,,,,,QC'd by NIEHS/NTP
886,17389546,5361202,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-gr-hela-agonist-ntp-p1/AB08013885-01/24052334,,Inactive,,,,,,,,,,4,,-5.8128,-2.1053,,-3.387,,-1.7029,-2.1692,-7.9908,-2.6929,-1.7576,0.5616,-3.2466,,-0.4806,2.5918,2.3686,2.0726,-5.8128,,,,,,,,,,,,,,,4,,5.7343,0.7246,,-2.6582,,-1.5588,4.5024,-5.3129,0.8294,-4.717,1.9253,-3.7851,,1.4581,-1.1962,0.1238,0.1167,5.7343,,,,,,,,,,,,,,,4,0 0 1 1 0 0 0 0 0 0 0 0 0 1,-22.7687,-2.0354,,-0.5533,,7.3282,-10.1306,1.81,-6.5186,14.6057,-0.4322,9.976,,3.3716,14.1343,7.87,12.0004,-22.7687,,,,,,,,,QC'd by NIEHS/NTP
887,17389547,2554,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-gr-hela-agonist-ntp-p1/AB02914413-01/24052444,,Inactive,,,,,,,,,,4,,-3.5903,-5.5273,,-1.0734,,-8.7466,-7.9594,-3.5888,-2.6829,-4.3001,-3.331,-8.2839,,-5.8877,0.3203,0.3434,-9.1453,-3.5903,,,,,,,,,,,,,,,4,,-1.7467,0.862,,-2.886,,-4.2647,-6.3676,-4.2261,2.5187,-5.6382,-0.7275,-2.3572,,-3.6908,-0.4309,-1.4992,3.8542,-1.7467,,,,,,,,,,,,,,,4,,-6.2141,-19.6915,,-3.9996,,-10.7172,-0.3351,0.2079,-20.9462,-0.1309,-13.0142,-20.4563,,-5.6898,-6.489,-3.0286,-35.977,-6.2141,,,,,,,,,QC'd by NIEHS/NTP
888,17389548,2391,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-gr-hela-agonist-ntp-p1/AB08003364-01/24052581,,Inactive,,,,,,,,,,4,,-15.6347,-7.046,,-5.4004,,-11.8075,-2.9021,-6.3985,-0.3183,-11.132,-11.1638,-11.1676,,0.806,0.6783,-8.6558,-4.5325,-15.6347,,,,,,,,,,,,,,,4,,-0.6706,-3.259,,0.4156,,-0.6305,-0.2821,-4.6539,1.4951,-4.2961,4.3193,0.7236,,1.4431,1.5212,-3.0864,5.6545,-0.6706,,,,,,,,,,,,,,,4,,-37.3816,-6.4739,,-20.2546,,-26.2536,-2.3578,3.6757,-7.6994,-16.832,-42.0175,-31.0478,,3.2473,-3.8114,-15.5065,-27.2534,-37.3816,,,,,,,,,QC'd by NIEHS/NTP
889,17389549,5280965,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/nucrecep-gr-hela-agonist-ntp-p1/AB07930228-01/24051353,,Inconclusive,0.3162,52.422,,,,,,,,4,,-0.2402,2.751,,1.2287,,-5.1135,-0.0398,-1.6117,-2.2709,-5.3198,-0.2998,-8.0117,,-4.5391,-1.1579,-4.4881,-11.1904,-0.2402,,,,,,,,,,,,,,,4,,-3.3659,-0.4745,,0.0704,,-2.4075,0.4744,1.6563,1.7777,2.0091,1.9624,5.836,,3.746,-1.5625,4.419,0.7132,-3.3659,,,,,,,,,Complete curve; partial efficacy; poor fit,-6.5,0.3,0.8468,-44.422,8,-1.4,0 0 0 0 0 0 0 0 1 0 1 0 0 1,13.9806,4.7706,,-6.7211,,-6.6844,-1.8848,-13.9341,-18.1722,-26.9327,-12.5154,-41.4873,,-24.7773,-5.5129,-33.642,-35.7468,13.9806,,,,,,,,,QC'd by NIEHS/NTP
890,17389550,135401907,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-gr-hela-agonist-ntp-p1/AB07949240-01/24052715,,Inactive,,,,,,,,,,4,,-3.8274,-5.3321,,-13.0304,,-6.6015,-7.4007,-2.8768,-2.2125,-4.0612,-8.3892,1.4825,,-5.3903,1.5199,-9.8555,-7.9179,-3.8274,,,,,,,,,,,,,,,4,,1.382,-0.1565,,2.5017,,1.5222,2.3317,3.2674,0.0805,-2.2791,2.4483,3.2623,,0.5725,-0.0369,11.6009,2.0605,1.382,,,,,,,,,,,,,,,4,,-9.8279,-12.9505,,-45.7071,,-20.8213,-22.9349,-17.4614,-7.4672,-6.2069,-31.1417,-7.631,,-11.7197,3.5736,-54.4499,-25.6511,-9.8279,,,,,,,,,QC'd by NIEHS/NTP
891,17389551,904,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-gr-hela-agonist-ntp-p1/AB07985249-01/24052117,,Inactive,,,,,,,,,,4,,-5.0643,-9.2529,,-13.1433,,-13.1717,-9.3738,-4.4199,-9.7134,-6.1728,-7.611,-4.1542,,-0.0818,-2.0357,-7.4543,-12.1492,-5.0643,,,,,,,,,,,,,,,4,,-0.9088,-2.127,,15.4478,,-2.0873,-3.4049,-1.8696,-2.9309,-3.9939,0.4509,-3.1643,,1.2094,-1.7314,-2.5438,-5.1534,-0.9088,,,,,,,,,,,,,,,4,,-4.9515,-16.178,,-61.5552,,-24.8073,-9.2006,-4.5172,-17.6738,-6.5353,-21.8848,-0.5519,,0.3278,-1.2085,-14.5366,-13.0611,-4.9515,,,,,,,,,QC'd by NIEHS/NTP
892,17389552,2078,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-gr-hela-agonist-ntp-p1/AB02540538-01/24051646,,Inactive,,,,,,,,,,4,,-7.5081,-10.5278,,-8.4041,,-5.5419,-4.1929,-10.567,-0.1809,-7.9051,-5.6867,-14.3146,,-8.8713,-4.9926,-8.4435,-13.7174,-7.5081,,,,,,,,,,,,,,,4,,0.9671,2.4944,,-1.769,,-2.6687,1.5668,-0.3461,7.0171,2.8321,0.9288,-0.5469,,1.3746,-1.5982,-6.3006,5.0817,0.9671,,,,,,,,,,,,,,,4,,-28.4499,-41.8889,,-33.3871,,-19.6243,-24.6295,-36.9097,-34.9151,-40.8642,-30.2114,-45.6145,,-34.0097,-22.0316,-16.614,-54.707,-28.4499,,,,,,,,,QC'd by NIEHS/NTP
893,17389553,26132,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-gr-hela-agonist-ntp-p1/AB07980906-01/24052157,,Inactive,,,,,,,,,,4,,-2.3267,-3.9551,,-5.8512,,-6.0824,-4.6205,-6.6951,-9.1833,-4.6092,-6.7755,3.2091,,-2.4584,-3.6432,-3.9532,-0.8513,-2.3267,,,,,,,,,,,,,,,4,,1.8125,-0.7253,,-1.0316,,-1.4645,1.0393,-0.1456,2.698,0.3261,-3.2033,-0.1456,,2.0416,4.7587,-0.2693,-1.1957,1.8125,,,,,,,,,,,,,,,4,,-11.335,-12.1242,,-21.7476,,-14.3237,-16.3922,-21.0988,-38.4995,-20.8822,-10.1982,4.67,,-13.2004,-31.7684,-17.4312,0.0896,-11.335,,,,,,,,,QC'd by NIEHS/NTP
894,17389554,25670,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-gr-hela-agonist-ntp-p1/AB08548294-01/24052566,,Inactive,,,,,,,,,,4,,3.1961,2.133,,0.5199,,-5.1472,-1.6274,1.2634,-5.4183,1.8818,9.8912,-6.7209,,2.5401,2.3234,-5.3943,-5.3812,3.1961,,,,,,,,,,,,,,,4,,-7.232,1.7636,,-7.8915,,-7.7515,-9.052,-9.2827,-0.7582,-8.9268,-1.1697,-8.2443,,-8.8483,-9.4256,-6.0266,-2.4942,-7.232,,,,,,,,,,,,,,,4,0 0 0 0 0 1 0 0 1 0 0 0 0 1,19.1951,-10.0244,,4.0497,,-2.8464,11.8161,17.3564,-25.3681,13.2588,11.3282,-10.0857,,23.4788,15.8787,-17.1191,-18.7782,19.1951,,,,,,,,,QC'd by NIEHS/NTP
895,17389555,94308,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-gr-hela-agonist-ntp-p1/AB08007388-01/24051579,,Inactive,,,,,,,,,,4,,-10.0308,-12.1264,,-2.858,,-8.3882,-0.372,-7.7955,-5.0848,-8.7395,-2.881,-7.3157,,-9.1413,-6.5671,-14.2069,4.9595,-10.0308,,,,,,,,,,,,,,,4,,13.3502,4.6322,,-0.7686,,-2.8738,-0.1387,-1.9164,1.0461,-4.1571,-1.1284,0.7739,,0.6387,-4.666,-6.3661,0.2993,13.3502,,,,,,,,,,,,,,,4,1 0 0 0 0 0 0 0 0 0 0 0 0 1,-52.5336,-42.7701,,-14.1649,,-14.6109,-0.9905,-17.4365,-22.1071,-15.8663,-7.307,-25.2812,,-25.6101,-8.5447,-27.7173,8.6814,-52.5336,,,,,,,,,QC'd by NIEHS/NTP
896,17389556,21013,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-gr-hela-agonist-ntp-p1/AB08582927-01/24052350,,Inactive,,,,,,,,,,4,,-2.7354,4.1231,,-3.9678,,-2.9832,-4.057,1.263,-1.6554,-1.0141,3.3246,5.032,,-5.3312,-1.8447,-1.2133,-6.557,-2.7354,,,,,,,,,,,,,,,4,,5.921,-2.6257,,11.6065,,0.6868,4.0887,-1.8367,-0.4137,-3.4881,-1.5114,-2.313,,-0.2468,4.0292,7.0913,5.7437,5.921,,,,,,,,,,,,,,,4,1 1 0 0 0 0 0 0 0 0 0 0 0 0,-18.7848,18.1925,,-39.4066,,-9.7097,-18.5554,9.408,-5.7009,4.6269,13.9449,20.5886,,-10.1239,-20.1012,-24.4003,-29.7441,-18.7848,,,,,,,,,QC'd by NIEHS/NTP
897,17389557,20525,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-gr-hela-agonist-ntp-p1/AB07981299-01/24052303,,Inactive,,,,,,,,,,4,,-12.1119,-11.6395,,-10.9819,,-20.7419,-10.9711,-13.6817,-3.9161,-11.9019,-5.2257,-9.3688,,-6.4635,-2.4659,-12.7878,-10.1147,-12.1119,,,,,,,,,,,,,,,4,,3.7411,9.2068,,7.0145,,4.4419,-4.0599,-4.7649,-2.2826,6.7936,-3.3385,5.6792,,-3.4766,1.4334,17.9276,5.6394,3.7411,,,,,,,,,,,,,,,4,,-34.2822,-43.6965,,-45.4052,,-52.6108,-9.1917,-18.3636,-2.1631,-43.464,0.3912,-35.6074,,2.0871,-11.0513,-61.9317,-36.0409,-34.2822,,,,,,,,,QC'd by NIEHS/NTP
898,17389558,15439,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-gr-hela-agonist-ntp-p1/AB07944099-01/24052273,,Inactive,,,,,,,,,,4,,-5.1682,-7.4284,,-5.585,,-11.4086,-10.6882,-10.8758,-7.3647,-10.8165,-15.0787,-5.0415,,-8.6262,-6.6954,-0.695,-14.2602,-5.1682,,,,,,,,,,,,,,,4,,0.7689,-3.7603,,-0.0215,,-6.344,-5.6316,-3.9809,8.5864,-1.1533,-5.7711,7.4511,,-4.4015,-2.6355,-0.2835,-6.5741,0.7689,,,,,,,,,,,,,,,4,,-15.9538,-12.9533,,-24.7575,,-14.1267,-12.35,-21.5746,-43.0998,-30.6688,-30.1115,-34.9323,,-10.5992,-18.5701,-9.8279,-21.849,-15.9538,,,,,,,,,QC'd by NIEHS/NTP
899,17389559,13404,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/nucrecep-gr-hela-agonist-ntp-p1/AB08082713-01/24052131,,Inconclusive,0.0355,21.5046,,,,,,,,4,,-11.6031,-4.9865,,-4.7316,,-8.361,-11.6581,-2.4864,-11.3458,-13.7913,-8.6876,-8.1624,,-11.3975,-11.3575,-15.0783,-14.94,-11.6031,,,,,,,,,,,,,,,4,,-2.2803,0.2696,,3.0636,,-1.4205,12.1667,-2.887,6.9534,4.1864,9.4984,2.7902,,7.7357,-1.6675,9.8223,-1.274,-2.2803,,,,,,,,,Complete curve; partial efficacy; poor fit,-7.45,4.9549,0.5605,-41.177,-19.6724,-1.4,0 0 0 1 1 0 0 0 0 0 0 0 0 1,-20.1031,-14.4232,,-26.9466,,-18.3908,-49.867,2.6091,-45.9644,-44.4265,-45.2351,-29.1971,,-42.6072,-29.2361,-58.068,-33.6374,-20.1031,,,,,,,,,QC'd by NIEHS/NTP
900,17389560,13165,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-gr-hela-agonist-ntp-p1/AB07944077-01/24051661,,Inactive,,,,,,,,,,4,,3.2862,-6.8802,,1.8156,,4.0476,-5.0403,-3.8267,-7.616,-3.5608,-7.2053,-7.8207,,-6.3234,-0.9783,-0.2048,6.6407,3.2862,,,,,,,,,,,,,,,4,,19.7262,2.7188,,3.7943,,10.0045,2.1251,-0.0658,7.2166,3.2339,2.1834,1.959,,5.1686,1.9362,3.238,10.2131,19.7262,,,,,,,,,,,,,,,4,,-29.7837,-23.4181,,-11.5784,,-22.1487,-12.5325,-3.579,-37.4234,-18.1451,-20.5599,-20.331,,-21.4345,-1.9589,-5.1353,-8.571,-29.7837,,,,,,,,,QC'd by NIEHS/NTP
901,17389561,12749,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/nucrecep-gr-hela-agonist-ntp-p1/AB08001810-01/24051800,,Inconclusive,7.9433,51.2587,,,,,,,,4,,-6.5547,-8.6764,,-2.9654,,-10.3994,-11.2467,-12.7041,-7.3231,-13.625,-9.0502,-11.596,,-11.3457,-5.3112,-14.4836,-16.8386,-6.5547,,,,,,,,,,,,,,,4,,3.7731,0.1439,,-4.8185,,0.0177,-4.7699,-4.4132,1.3912,-5.9458,10.2105,1.4355,,-1.1429,7.7831,12.6489,12.3937,3.7731,,,,,,,,,Complete curve; partial efficacy; poor fit,-5.1,0.6,0.6923,-65.5778,-14.3191,-1.4,0 1 0 0 0 0 0 0 0 0 0 0 0 1,-19.0937,-17.2646,,5.2141,,-20.412,-8.0494,-17.5623,-21.0127,-16.7793,-41.5717,-29.1326,,-20.0598,-31.2264,-54.6482,-54.4544,-19.0937,,,,,,,,,QC'd by NIEHS/NTP
902,17389562,12266,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-gr-hela-agonist-ntp-p1/AB08082703-01/24052261,,Inactive,,,,,,,,,,4,,-5.1349,-7.828,,-7.9027,,-12.8865,-5.1565,-12.3198,-5.9989,-7.2334,-10.8025,-10.8814,,-6.4544,-8.349,-4.2038,-11.1794,-5.1349,,,,,,,,,,,,,,,4,,-6.2685,-6.7671,,1.7469,,-7.9067,-4.9517,-3.5475,2.0388,-5.3223,2.3658,-2.2791,,2.1864,8.7187,-3.927,1.1787,-6.2685,,,,,,,,,,,,,,,4,,13.6463,4.0255,,-22.3572,,-3.8281,7.5254,-16.2996,-16.8651,-2.4454,-27.5412,-16.3203,,-12.657,-33.2491,1.1844,-22.9683,13.6463,,,,,,,,,QC'd by NIEHS/NTP
903,17389563,12124,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-gr-hela-agonist-ntp-p1/AB08000876-01/24052698,,Inactive,,,,,,,,,,4,,-4.8294,-2.3495,,-0.9328,,10.1917,-6.7075,-4.8456,-0.6241,-6.1415,0.3998,-3.3118,,-1.4758,6.2363,-2.2837,-6.8527,-4.8294,,,,,,,,,,,,,,,4,,-1.5385,-1.0145,,1.0127,,4.3165,-0.3555,-2.1251,4.1469,-1.533,4.1903,1.221,,1.8226,-0.1196,-1.6089,0.5834,-1.5385,,,,,,,,,,,,,,,4,,-6.8017,-3.6889,,-12.4677,,5.3002,-14.2212,-6.4126,-17.6136,-15.2235,-14.5153,-14.4724,,-6.89,15.3544,-6.0464,-19.9134,-6.8017,,,,,,,,,QC'd by NIEHS/NTP
904,17389564,12091,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-gr-hela-agonist-ntp-p1/AB07936240-01/24052686,,Inactive,,,,,,,,,,4,,-2.0565,-5.1157,,-12.8169,,-5.404,-4.7597,-6.4868,-5.3567,-6.6843,2.1563,-8.0096,,-1.6775,0.4109,-6.2108,-4.6957,-2.0565,,,,,,,,,,,,,,,4,,1.0802,9.6968,,14.9582,,0.461,1.5132,3.5123,9.3331,6.3375,5.8305,-1.2264,,1.0846,9.9079,12.1333,0.7789,1.0802,,,,,,,,,,,,,,,4,,-1.0022,-32.7585,,-60.6205,,-12.0304,-10.8726,-24.0485,-36.9056,-32.7195,-11.1658,-14.6165,,-0.4105,-25.9579,-43.7706,-10.8274,-1.0022,,,,,,,,,QC'd by NIEHS/NTP
905,17389565,11852,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-gr-hela-agonist-ntp-p1/AB07935820-01/24052158,,Inactive,,,,,,,,,,4,,-15.0081,-5.9833,,-4.1387,,-4.1204,-10.544,-9.8761,3.6167,-0.3421,6.7611,-4.3503,,-0.909,-1.5223,0.8141,-13.736,-15.0081,,,,,,,,,,,,,,,4,,3.0172,11.3105,,0.6537,,-2.7173,5.1126,17.6026,2.032,1.8957,1.8593,0.9304,,0.5522,10.5623,15.9438,7.457,3.0172,,,,,,,,,,,,,,,4,,-39.8743,-32.8958,,-13.4482,,3.4039,-30.7228,-50.4881,4.4018,-6.0656,15.6253,-9.9548,,5.1612,-28.1454,-31.711,-43.816,-39.8743,,,,,,,,,QC'd by NIEHS/NTP
906,17389566,10943,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-gr-hela-agonist-ntp-p1/AB07980942-01/24052088,,Inactive,,,,,,,,,,4,,-6.9136,-6.6394,,-3.9984,,-10.3994,-10.5708,-6.5005,3.0655,-9.4557,-5.9247,-10.6843,,-12.9415,-0.1792,1.3685,-12.3894,-6.9136,,,,,,,,,,,,,,,4,,-3.3361,-4.682,,-8.0373,,-7.4314,10.6639,-6.057,-3.6726,1.3674,-7.811,-7.0146,,2.6905,0.9352,-2.3922,3.5797,-3.3361,,,,,,,,,,,,,,,4,,-10.2372,-7.7762,,0.4517,,-9.0765,-38.4202,-5.8574,7.3283,-27.3968,-1.5343,-14.2492,,-34.4466,-10.301,0.7291,-35.2655,-10.2372,,,,,,,,,QC'd by NIEHS/NTP
907,17389567,10800,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-gr-hela-agonist-ntp-p1/AB08548299-01/24052214,,Inactive,,,,,,,,,,4,,-14.6133,-15.2149,,-2.3775,,-8.455,-9.9607,-10.6895,-4.9664,2.5476,-7.6452,-3.5228,,-4.6244,0.5785,-7.3123,-15.0786,-14.6133,,,,,,,,,,,,,,,4,,-2.5859,-0.0076,,3.8229,,2.2101,1.6893,-2.337,4.059,0.1401,-0.048,-1.2583,,2.02,0.4064,7.2879,1.8705,-2.5859,,,,,,,,,,,,,,,4,,-30.362,-36.0289,,-22.0727,,-25.4284,-26.0244,-20.3436,-25.6623,1.3183,-20.8704,-4.8403,,-13.5584,-1.0521,-38.8718,-41.2999,-30.362,,,,,,,,,QC'd by NIEHS/NTP
908,17389568,10722,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/nucrecep-gr-hela-agonist-ntp-p1/AB08082718-01/24052427,,Inconclusive,0.0178,28.8981,,,,,,,,4,,-3.8779,-5.769,,1.0479,,-1.9896,-11.1411,2.6358,-10.9185,-6.4155,-10.9777,-5.5096,,-2.0309,-9.2844,-9.1792,-1.3647,-3.8779,,,,,,,,,,,,,,,4,,-4.3212,-1.3183,,-5.2276,,-3.3222,3.3143,-2.8481,-6.5199,-7.4476,-3.9951,-2.4697,,-1.6227,-3.8004,-1.7172,-1.102,-4.3212,,,,,,,,,Complete curve; partial efficacy; poor fit,-7.75,0.8,0.4247,-24.8981,4,-1.4,1 0 0 1 1 0 0 0 0 0 0 0 0 1,-7.207,-24.2556,,1.2439,,-9.029,-45.6544,2.4959,-25.4554,-9.4692,-34.4422,-21.7666,,-10.5033,-34.982,-38.2484,-13.8875,-7.207,,,,,,,,,QC'd by NIEHS/NTP
909,17389569,10721,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-gr-hela-agonist-ntp-p1/AB07981881-01/24052635,,Inactive,,,,,,,,,,4,,-9.2918,-13.1415,,-7.623,,-19.0413,-13.3134,-11.462,-6.7208,-9.2779,-5.2117,-13.3166,,-7.9127,-3.3309,-2.901,-10.0159,-9.2918,,,,,,,,,,,,,,,4,,-6.1669,-1.6792,,-5.3941,,-2.0702,-4.8422,-6.7354,-0.6953,-6.4988,-3.7621,-3.5851,,4.1795,-5.7878,-4.7894,-4.5101,-6.1669,,,,,,,,,,,,,,,4,,6.4749,-19.4345,,-2.0404,,-30.6018,-9.3699,-1.2484,-10.9648,-0.5764,4.1604,-17.1164,,-19.5825,15.7704,11.9955,-4.1468,6.4749,,,,,,,,,QC'd by NIEHS/NTP
