PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,W460-Curve_Description,W460-Fit_LogAC50,W460-Fit_HillSlope,W460-Fit_R2,W460-Fit_InfiniteActivity,W460-Fit_ZeroActivity,W460-Fit_CurveClass,W460-Excluded_Points,W460-Max_Response,W460-Activity at 0.0004339325 uM,W460-Activity at 0.00129 uM,W460-Activity at 0.00384 uM,W460-Activity at 0.00491 uM,W460-Activity at 0.012 uM,W460-Activity at 0.034 uM,W460-Activity at 0.057 uM,W460-Activity at 0.106 uM,W460-Activity at 0.314 uM,W460-Activity at 0.650 uM,W460-Activity at 0.975 uM,W460-Activity at 2.847 uM,W460-Activity at 4.858 uM,W460-Activity at 8.475 uM,W460-Activity at 24.77 uM,W460-Activity at 36.32 uM,W460-Activity at 76.79 uM,W460-Activity at 182.0 uM,W460-Activity at 407.0 uM,W460-Activity at 910.0 uM,W460-Activity at 2034.7 uM,W460-Activity at 4832.4 uM,W460-Activity at 10805.3 uM,W460-Activity at 24160.5 uM,W460-Activity at 54023.0 uM,Ratio-Curve_Description,Ratio-Fit_LogAC50,Ratio-Fit_HillSlope,Ratio-Fit_R2,Ratio-Fit_InfiniteActivity,Ratio-Fit_ZeroActivity,Ratio-Fit_CurveClass,Ratio-Excluded_Points,Ratio-Max_Response,Ratio-Activity at 0.0004339325 uM,Ratio-Activity at 0.00129 uM,Ratio-Activity at 0.00384 uM,Ratio-Activity at 0.00491 uM,Ratio-Activity at 0.012 uM,Ratio-Activity at 0.034 uM,Ratio-Activity at 0.057 uM,Ratio-Activity at 0.106 uM,Ratio-Activity at 0.314 uM,Ratio-Activity at 0.650 uM,Ratio-Activity at 0.975 uM,Ratio-Activity at 2.847 uM,Ratio-Activity at 4.858 uM,Ratio-Activity at 8.475 uM,Ratio-Activity at 24.77 uM,Ratio-Activity at 36.32 uM,Ratio-Activity at 76.79 uM,Ratio-Activity at 182.0 uM,Ratio-Activity at 407.0 uM,Ratio-Activity at 910.0 uM,Ratio-Activity at 2034.7 uM,Ratio-Activity at 4832.4 uM,Ratio-Activity at 10805.3 uM,Ratio-Activity at 24160.5 uM,Ratio-Activity at 54023.0 uM,W530-Curve_Description,W530-Fit_LogAC50,W530-Fit_HillSlope,W530-Fit_R2,W530-Fit_InfiniteActivity,W530-Fit_ZeroActivity,W530-Fit_CurveClass,W530-Excluded_Points,W530-Max_Response,W530-Activity at 0.0004339325 uM,W530-Activity at 0.00129 uM,W530-Activity at 0.00384 uM,W530-Activity at 0.00491 uM,W530-Activity at 0.012 uM,W530-Activity at 0.034 uM,W530-Activity at 0.057 uM,W530-Activity at 0.106 uM,W530-Activity at 0.314 uM,W530-Activity at 0.650 uM,W530-Activity at 0.975 uM,W530-Activity at 2.847 uM,W530-Activity at 4.858 uM,W530-Activity at 8.475 uM,W530-Activity at 24.77 uM,W530-Activity at 36.32 uM,W530-Activity at 76.79 uM,W530-Activity at 182.0 uM,W530-Activity at 407.0 uM,W530-Activity at 910.0 uM,W530-Activity at 2034.7 uM,W530-Activity at 4832.4 uM,W530-Activity at 10805.3 uM,W530-Activity at 24160.5 uM,W530-Activity at 54023.0 uM,Compound QC
477,17389137,31253,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-gr-hela-antagonist-ntp-p1/AB08000282-01/24060463,,Inactive,,,,,,,,,,4,,-17.3852,-8.8684,,16.8514,,1.3107,24.9679,4.5351,19.0268,-22.5718,5.8853,2.0835,,-15.9192,24.592,8.3029,9.5216,-17.3852,,,,,,,,,,,,,,,4,0 0 0 0 0 0 0 1 0 0 1 0 0 0,-12.0521,-0.7195,,1.732,,0.7142,9.7905,-8.4669,-10.3599,-12.1225,5.6976,-2.1384,,-16.6554,22.2026,-5.9802,-8.8449,-12.0521,,,,,,,,,,,,,,,4,,-9.0356,-10.3106,,5.1732,,-0.9033,4.1448,6.0591,13.6093,-9.0372,-4.8328,0.6541,,-3.0282,-4.1463,5.7439,7.6481,-9.0356,,,,,,,,,QC'd by NIEHS/NTP
478,17389138,,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-gr-hela-antagonist-ntp-p1/AB08003889-01/24060262,,Inactive,,,,,,,,,,4,,-1.7602,-2.155,,-6.8932,,6.5605,16.9999,30.075,3.1778,-21.2577,4.0532,-19.0592,,-15.3967,-2.8573,3.5132,1.4559,-1.7602,,,,,,,,,,,,,,,4,,-10.3068,3.5084,,-7.0055,,6.4599,7.7051,4.6467,-0.9398,-16.8859,5.0753,0.5945,,-4.3365,-0.3881,1.3005,-7.5578,-10.3068,,,,,,,,,,,,,,,4,,1.0281,-7.5736,,-1.9211,,0.3729,2.0551,13.4508,-1.8852,-1.8621,-4.0511,-12.9897,,-8.8477,-4.8329,-0.8637,3.3177,1.0281,,,,,,,,,QC'd by null
479,17389139,6537494,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-gr-hela-antagonist-ntp-p1/AB08002746-01/24060916,,Inactive,,,,,,,,,,4,0 0 1 0 0 0 0 0 0 0 0 0 0 1,41.1785,-16.4416,,10.677,,-75.5099,8.0761,9.0828,-10.1806,-0.462,7.713,9.3137,,-5.9116,3.0245,5.8595,-7.4991,41.1785,,,,,,,,,,,,,,,4,,24.1446,-10.4547,,-3.7563,,-20.8814,4.9551,20.8546,-10.6502,-11.7415,-5.5662,-9.1346,,-11.9191,-12.3323,-9.9944,-15.4451,24.1446,,,,,,,,,,,,,,,4,,-2.463,-12.2035,,-0.61,,-36.6697,-5.644,-11.407,-9.3779,0.4179,-1.7634,3.7979,,-4.3071,-0.8801,0.0536,-4.5034,-2.463,,,,,,,,,QC'd by NIEHS/NTP
480,17389140,7913,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-gr-hela-antagonist-ntp-p1/AB08082705-01/24059885,,Inactive,,,,,,,,,,4,,3.5229,-16.7822,,9.4634,,-22.6774,-6.992,-0.5306,33.2785,-5.845,-20.8331,-0.0865,,-15.7143,9.7199,-17.6388,-3.7953,3.5229,,,,,,,,,,,,,,,4,0 0 0 0 1 0 0 0 1 0 0 0 0 1,4.5153,-11.0941,,-9.1642,,-26.9148,-17.0706,7.0386,-5.9221,-7.2372,-12.396,8.7262,,-6.9842,-1.7991,-6.5025,-2.3787,4.5153,,,,,,,,,,,,,,,4,,-4.6261,-6.6901,,8.3254,,2.9299,3.2627,-4.7758,17.3344,0.9376,-7.9404,-4.7823,,-6.8944,3.1768,-8.4389,-3.3725,-4.6261,,,,,,,,,QC'd by NIEHS/NTP
481,17389141,2286,Inconclusive,20,http://assay.nih.gov/htsws/rest/display/nucrecep-gr-hela-antagonist-ntp-p1/AB07985289-01/24059784,,Inhibitor,39.8107,86.1036,,Complete curve; partial efficacy; poor fit,-4.65,2.4064,0.9103,-35.2254,3.2914,-1.4,1 0 1 0 0 0 0 0 0 0 0 0 0 0,-32.7569,-9.8745,,4.3665,,-15.3178,-2.0084,-3.8902,11.415,0.7398,5.2036,2.4841,,2.9873,5.0775,-10.0112,-27.0982,-32.7569,,,,,,,,,Partial curve; partial efficacy; poor fit,-4.4,1.9282,0.7881,-82.9497,3.1539,-2.4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-65.503,-12.3113,,-2.4518,,-16.7058,5.2789,20.7471,21.4186,10.2284,0.181,8.198,,-4.5248,-0.0829,-13.324,-37.2076,-65.503,,,,,,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,19.3799,-4.306,,-0.6625,,-0.7278,-7.8776,-14.7818,-10.7084,-6.6333,-2.3277,-5.2036,,0.4605,-2.442,-2.4761,2.1827,19.3799,,,,,,,,,QC'd by NIEHS/NTP
482,17389142,6623,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-gr-hela-antagonist-ntp-p1/AB07981683-01/24060945,,Inactive,,,,,,,,,,4,1 0 0 0 0 0 0 1 0 0 0 0 0 1,-0.2204,5.9017,,-2.8765,,7.5984,-2.6201,-3.899,2.2172,2.2753,-13.8395,5.1335,,-9.5454,7.2291,-1.9075,-14.0192,-0.2204,,,,,,,,,,,,,,,4,,-18.7331,3.0718,,-10.9848,,-7.1154,-3.6602,-5.6122,-3.432,-6.9175,-16.0294,-7.2115,,-7.5588,-4.6951,-6.8694,-21.8525,-18.7331,,,,,,,,,,,,,,,4,,0.1722,-8.9663,,-4.088,,2.9118,-8.7307,-6.6435,-7.6691,-1.033,-8.2625,0.4592,,-9.8187,-2.9637,-5.9273,-3.9562,0.1722,,,,,,,,,QC'd by NIEHS/NTP
483,17389143,82917,Inconclusive,20,http://assay.nih.gov/htsws/rest/display/nucrecep-gr-hela-antagonist-ntp-p1/AB08548260-01/24060220,,Inhibitor,50.1187,92.4594,,Single point of activity,-4.3,3.99,0.7489,-103.029,1.5048,-3,0 0 0 0 1 0 0 0 0 0 1 0 0 0,-123.477,-12.2761,,20.1376,,-26.3254,13.1388,-67.4511,-11.0176,27.0011,-5.5339,-5.2065,,-5.6095,34.8814,12.8487,-9.4427,-123.477,,,,,,,,,Single point of activity,-4.3,3.99,0.7773,-93.1359,-0.6765,-3,0 0 0 0 0 0 0 0 0 0 1 0 0 0,-117.076,-1.2902,,-6.7702,,-13.4513,5.1125,-12.622,18.226,-7.0448,-8.5976,-6.368,,1.0494,34.685,11.3165,-3.503,-117.076,,,,,,,,,,,,,,,4,0 0 0 0 1 0 0 0 0 0 0 0 0 0,-0.3399,13.9337,,6.8674,,-2.6774,-6.7224,-13.8745,0.5973,-5.1591,4.0207,5.4843,,-0.5986,1.5441,3.2681,-1.0031,-0.3399,,,,,,,,,QC'd by NIEHS/NTP
484,17389144,8147,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-gr-hela-antagonist-ntp-p1/AB08001405-01/24059950,,Inactive,,,,,,,,,,4,,26.7862,-0.4779,,-3.5071,,11.5286,21.9289,23.7943,23.5844,6.7182,5.0742,12.1834,,3.0054,-2.2354,2.0236,23.7738,26.7862,,,,,,,,,,,,,,,4,,22.9186,-8.3199,,10.4094,,0.3045,14.281,-8.9629,9.335,-1.7854,-1.7528,6.9712,,1.306,9.2601,0.7861,4.9973,22.9186,,,,,,,,,,,,,,,4,,-8.3258,-3.6602,,-14.5106,,2.7569,-3.3108,13.3718,-1.8492,0.796,-3.68,-2.0454,,-5.2058,-14.1044,-6.248,1.8772,-8.3258,,,,,,,,,QC'd by NIEHS/NTP
485,17389145,7944,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-gr-hela-antagonist-ntp-p1/AB08082752-01/24060505,,Inactive,,,,,,,,,,4,0 0 0 0 1 0 0 0 0 0 0 0 0 0,21.5921,-11.133,,-2.4624,,-10.1621,-1.937,-20.1239,3.4939,-8.075,2.848,-2.1761,,2.4362,7.3119,-6.6754,-4.2349,21.5921,,,,,,,,,,,,,,,4,,8.4994,-2.3644,,0.5295,,-2.0968,2.2679,-18.2192,12.0846,-7.7278,10.4915,-3.4429,,3.9032,8.8788,-14.1238,8.5267,8.4994,,,,,,,,,,,,,,,4,,3.0907,-7.7501,,-3.2408,,-3.6035,-3.871,-1.0703,-7.7306,0.4695,-6.3388,1.1143,,-1.8011,-3.121,3.3985,-8.614,3.0907,,,,,,,,,QC'd by NIEHS/NTP
486,17389146,1491,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-gr-hela-antagonist-ntp-p1/AB07944038-01/24060818,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 1 0 0 0 1,-7.219,-14.6323,,-4.6752,,-23.0422,-17.8196,-12.7832,-5.4467,-2.4295,8.0878,4.3939,,-27.9031,3.4149,-8.607,-20.4683,-7.219,,,,,,,,,,,,,,,4,1 0 0 0 0 0 0 0 0 0 0 0 1 0,6.9505,1.0695,,-2.5469,,-19.6099,-7.6365,-5.0207,-4.833,-12.0644,4.7008,-1.4689,,-13.6521,1.3407,3.616,-27.1491,6.9505,,,,,,,,,,,,,,,4,,-9.9641,-10.1576,,-0.9792,,1.6109,-5.9713,-2.7586,-1.8264,9.6382,1.2881,6.0105,,-8.0221,0.3817,-6.8757,6.0755,-9.9641,,,,,,,,,QC'd by NIEHS/NTP
487,17389147,5284459,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-gr-hela-antagonist-ntp-p1/AB07944765-01/24060232,,Inactive,,,,,,,,,,4,0 0 1 1 0 0 0 0 0 0 0 0 0 1,-14.4852,-11.7776,,-0.1594,,-19.4487,0.9379,-8.1363,4.5876,-14.3637,-0.1603,-21.3134,,-15.6196,1.487,8.2399,6.0196,-14.4852,,,,,,,,,,,,,,,4,1 0 0 1 0 0 0 0 0 0 0 0 0 0,-11.0499,-3.3906,,4.0893,,-3.4243,12.0864,0.8915,10.6091,-7.0414,8.2378,-8.9692,,0.0025,10.5219,3.5092,-9.2055,-11.0499,,,,,,,,,,,,,,,4,,-5.6422,-8.1072,,-4.4781,,-8.5893,-8.6616,-5.8205,-7.6983,-3.503,-7.6707,-7.1602,,-10.6883,-8.3013,0.7867,7.3647,-5.6422,,,,,,,,,QC'd by NIEHS/NTP
488,17389148,8842,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-gr-hela-antagonist-ntp-p1/AB07990157-01/24060287,,Inactive,,,,,,,,,,4,,18.273,-5.5993,,4.6927,,-3.3729,2.4437,20.3718,-17.5484,0.9708,-20.3836,-0.8258,,2.1087,-0.6884,0.0982,9.5457,18.273,,,,,,,,,,,,,,,4,,13.6205,-2.1313,,13.6267,,3.9103,18.9492,17.1311,12.3208,7.8137,-3.6312,6.0096,,7.8982,19.5826,7.8049,4.0652,13.6205,,,,,,,,,,,,,,,4,,-3.2099,-6.0171,,-8.0231,,-4.1918,-12.0772,-0.4956,-21.1273,-4.4272,-13.5284,-4.9405,,-5.629,-14.9844,-7.2912,-0.3439,-3.2099,,,,,,,,,QC'd by NIEHS/NTP
489,17389149,12456,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/nucrecep-gr-hela-antagonist-ntp-p1/AB08583000-01/24060274,,Activator,3.1623,54.479,,Partial curve; partial efficacy; poor fit,-4.45,0.2,0.3373,40,-2.2698,2.4,0 0 0 0 0 0 0 0 0 0 1 0 0 1,-3.0342,0.557,,-3.1415,,15.0193,13.1258,4.9188,6.1292,13.1884,-0.1051,2.9861,,17.8268,53.8073,30.6512,13.0197,-3.0342,,,,,,,,,Complete curve; partial efficacy,-5.5,2.4729,0.9272,48.4667,-6.0123,1.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0,39.0047,-8.2396,,-4.4443,,1.9065,1.5842,-21.6315,-11.2218,0.5302,-4.5126,1.7741,,21.7135,42.4194,54.6716,53.0189,39.0047,,,,,,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-25.5527,2.1341,,-1.9341,,4.3918,4.309,18.2435,7.276,7.7408,-0.5679,-0.1792,,-7.2669,0.3527,-15.1738,-22.3091,-25.5527,,,,,,,,,QC'd by NIEHS/NTP
490,17389150,5963,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-gr-hela-antagonist-ntp-p1/AB02509390-01/24060375,,Inactive,,,,,,,,,,4,,-23.3675,-26.3735,,-29.0197,,-20.4127,-8.2369,-12.8958,1.8595,-21.7359,-5.3358,-10.7925,,-21.1142,-12.1376,-25.2678,-21.9704,-23.3675,,,,,,,,,,,,,,,4,0 0 0 1 0 0 0 0 0 1 0 0 0 0,9.3055,-12.4162,,0.8552,,-1.4991,13.0936,8.5624,8.5874,8.6589,9.1404,-0.1209,,-5.9184,7.6253,4.1107,-8.3447,9.3055,,,,,,,,,,,,,,,4,,-21.2821,-10.6949,,-17.8927,,-8.9917,-13.3082,-12.7588,-8.508,-15.4718,-10.7789,-5.553,,-9.1282,-13.7133,-17.7604,-9.9807,-21.2821,,,,,,,,,QC'd by NIEHS/NTP
491,17389151,17355,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-gr-hela-antagonist-ntp-p1/AB07944039-01/24060425,,Inactive,,,,,,,,,,4,,10.9909,11.2316,,17.4503,,2.9416,6.9507,14.1428,-14.9416,31.1515,16.1585,5.4465,,14.4845,23.1791,-21.092,2.8798,10.9909,,,,,,,,,,,,,,,4,,-1.9537,-5.089,,-3.4504,,-1.6827,19.588,4.4398,-11.7583,2.4435,-2.1533,-1.2019,,-3.3298,4.4149,-3.4845,-0.7235,-1.9537,,,,,,,,,,,,,,,4,,2.9519,6.0089,,10.3064,,2.9668,-9.4808,4.4197,-6.4017,17.5665,7.9828,3.2016,,9.0963,7.4947,-13.4739,-0.7746,2.9519,,,,,,,,,QC'd by NIEHS/NTP
492,17389152,10867,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-gr-hela-antagonist-ntp-p1/AB07980903-01/24061108,,Inactive,,,,,,,,,,4,,-12.0058,-15.7303,,-10.5154,,-10.7752,-22.6138,-6.0568,-25.193,-11.0385,-20.5025,-20.3627,,-12.1204,-7.2906,-2.7462,-25.524,-12.0058,,,,,,,,,,,,,,,4,,-14.8244,-2.8706,,-4.089,,-3.5256,-1.6628,18.3085,-3.8873,-1.7084,-6.1561,1.2019,,3.0204,2.0591,-3.0925,-16.1248,-14.8244,,,,,,,,,,,,,,,4,,-1.1804,-8.9821,,-4.178,,-1.6952,-11.8826,-11.8447,-13.8053,-3.2464,-9.2296,-10.4875,,-8.2178,-6.5558,-0.6248,-6.1043,-1.1804,,,,,,,,,QC'd by NIEHS/NTP
493,17389153,8363,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-gr-hela-antagonist-ntp-p1/AB07995131-01/24060559,,Inactive,,,,,,,,,,4,0 1 0 0 1 0 0 0 0 0 0 0 0 0,25.7549,-7.8585,,-24.8419,,-17.1698,7.0453,15.9935,9.3526,4.8048,-10.7697,-9.0607,,-10.5899,-17.8829,0.8746,8.2311,25.7549,,,,,,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,28.0619,-12.1968,,-19.0371,,-6.2283,2.4387,-4.7592,-5.1813,-5.9009,-16.6325,-15.6353,,-8.8678,-15.1088,-5.2165,0.1857,28.0619,,,,,,,,,,,,,,,4,,-6.2825,-1.2465,,-5.9978,,-6.1266,-0.1815,10.2383,3.6787,6.326,0.5077,3.6254,,-3.0024,-4.9193,0.9567,1.1516,-6.2825,,,,,,,,,QC'd by NIEHS/NTP
494,17389154,60999,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/nucrecep-gr-hela-antagonist-ntp-p1/AB08582971-01/24060041,,Inconclusive,,,,,,,,,,4,,33.4126,-5.5278,,-9.5978,,4.0013,21.8393,19.2047,6.6482,-3.1524,-3.0884,18.7963,,-1.9611,10.8122,-2.9893,5.4234,33.4126,,,,,,,,,Single point of activity,-4.35,3.99,0.7397,40.43,-1.5909,3,0 0 0 0 0 0 0 0 1 0 0 0 0 0,44.3018,-4.6469,,-5.4026,,7.3558,10.9767,-3.488,6.6563,-8.0774,-13.5583,18.75,,2.9123,-1.9313,-3.6144,8.1102,44.3018,,,,,,,,,,,,,,,4,,-8.8046,-4.2701,,-5.0053,,-1.2909,3.426,11.2583,-4.1429,2.5396,2.9118,-0.2863,,-4.755,3.6845,-2.2371,-4.3082,-8.8046,,,,,,,,,QC'd by NIEHS/NTP
495,17389155,10387,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-gr-hela-antagonist-ntp-p1/AB07944049-01/24060727,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,28.3296,-9.3917,,5.7438,,8.8638,20.1984,17.4699,7.5051,7.1051,9.9434,2.1402,,21.0809,1.9676,13.7335,8.6718,28.3296,,,,,,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0 0 1,13.6092,7.4493,,2.6089,,12.1583,13.1173,11.4937,2.053,2.5329,3.0783,-3.9155,,5.6665,3.3653,0.8208,-11.3835,13.6092,,,,,,,,,,,,,,,4,,2.7012,-11.6535,,0.4458,,-0.1441,2.0895,2.3964,-0.289,4.1024,1.8291,4.6112,,7.9501,-2.9598,5.8431,9.9164,2.7012,,,,,,,,,QC'd by NIEHS/NTP
496,17389156,7368,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-gr-hela-antagonist-ntp-p1/AB08582925-01/24060601,,Inactive,,,,,,,,,,4,1 1 0 0 0 0 0 0 0 0 0 0 0 1,15.4378,-9.9665,,-5.896,,-0.9851,18.8842,17.2622,14.4875,14.6377,-1.6042,-5.3004,,-14.7804,-11.6713,-2.0425,-6.4103,15.4378,,,,,,,,,,,,,,,4,0 0 0 0 0 0 1 1 0 0 0 0 0 1,0.0808,-10.4132,,1.7191,,4.9359,17.1218,19.3289,18.027,26.6897,-11.3326,9.6154,,-0.0385,8.6445,-1.0655,10.7337,0.0808,,,,,,,,,,,,,,,4,,-0.9114,-6.9015,,-9.9778,,-5.9221,-5.3963,-6.7069,-10.1844,-9.5388,-0.5781,-11.7856,,-13.2142,-17.3686,-6.4832,-15.532,-0.9114,,,,,,,,,QC'd by NIEHS/NTP
497,17389157,7367,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-gr-hela-antagonist-ntp-p1/AB07944763-01/24060246,,Inactive,,,,,,,,,,4,,12.7843,-11.0843,,-0.0761,,4.9098,13.3983,-4.8897,3.6729,15.206,-4.9112,3.2219,,-18.8036,14.6407,7.6023,-11.6235,12.7843,,,,,,,,,,,,,,,4,0 0 0 0 0 0 0 0 1 1 0 0 0 0,7.9809,-11.0288,,3.8112,,0.2719,6.7898,8.6066,-3.5439,-0.6043,-9.5501,13.429,,-5.3148,15.569,5.2581,7.6027,7.9809,,,,,,,,,,,,,,,4,,-1.4905,-3.1486,,-3.9639,,3.6326,1.6678,-7.6383,0.3958,9.8283,0.1608,-5.2946,,-9.5449,-3.1194,-0.6149,-12.2223,-1.4905,,,,,,,,,QC'd by NIEHS/NTP
498,17389158,7222,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-gr-hela-antagonist-ntp-p1/AB07993090-01/24060117,,Inactive,,,,,,,,,,4,,10.9668,-1.7725,,-8.7428,,-6.7466,-12.4626,24.6672,1.12,10.5657,-2.7368,2.9176,,-7.9361,17.3403,-17.9623,2.6196,10.9668,,,,,,,,,,,,,,,4,,2.7556,-4.3597,,-2.9477,,-5.7372,9.3046,12.8042,2.7986,-6.1006,-9.164,2.4038,,-6.8111,7.6337,-18.2562,-7.7257,2.7556,,,,,,,,,,,,,,,4,,-0.4008,-2.1746,,-5.4384,,0.2244,-13.1846,4.5787,-4.9358,10.1052,0.9513,0.1585,,-2.2405,1.9599,-1.7449,3.0129,-0.4008,,,,,,,,,QC'd by NIEHS/NTP
499,17389159,95416,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-gr-hela-antagonist-ntp-p1/AB07985297-01/24060263,,Inactive,,,,,,,,,,4,0 0 0 0 0 1 0 0 0 0 1 0 0 1,-0.1515,-3.719,,0.0957,,-6.2422,11.377,4.6057,-24.7804,12.4038,-2.4418,-25.4269,,-16.9641,9.3996,-13.8341,-17.2636,-0.1515,,,,,,,,,,,,,,,4,,-0.7982,12.8014,,2.0166,,-8.8886,17.5769,-11.7641,-0.564,15.143,-6.0078,0.5985,,-6.4784,5.3265,-10.091,-6.4112,-0.7982,,,,,,,,,,,,,,,4,,-4.3034,-12.1004,,-3.6202,,1.748,-5.2628,7.9343,-17.1204,-1.3165,-1.3382,-15.1335,,-8.1802,-1.3479,-4.757,-8.8019,-4.3034,,,,,,,,,QC'd by NIEHS/NTP
500,17389160,9158,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/nucrecep-gr-hela-antagonist-ntp-p1/AB07930266-01/24059811,,Fluorescent,15.8489,41.7189,,Complete curve; high efficacy,-5.15,1.21,0.9897,411.161,-11.0409,1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0,393.394,-17.7666,,11.6347,,-15.9326,1.4364,-11.9404,-6.1887,-13.4755,4.1755,31.5226,,104.736,241.166,300.075,333.819,393.394,,,,,,,,,Complete curve; high efficacy,-5.5,2.1211,0.9908,177.225,-18.5686,1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0,175.254,-15.217,,-13.2834,,-27.2888,-20.4253,-20.1067,-16.5739,-20.3247,-10.6554,26.7977,,72.1682,169.916,171.169,168.893,175.254,,,,,,,,,Partial curve; partial efficacy; poor fit,-4.8,1.5095,0.8312,45.8274,4.1085,2.4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,44.2037,0.2891,,17.0705,,11.7512,13.5648,4.5562,3.3467,6.4975,5.2846,0.821,,9.678,12.9962,27.296,34.2255,44.2037,,,,,,,,,QC'd by NIEHS/NTP
501,17389161,6796,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-gr-hela-antagonist-ntp-p1/AB08582979-01/24060459,,Inactive,,,,,,,,,,4,0 1 0 0 0 0 0 0 0 0 0 0 0 1,-10.2921,2.1712,,-19.2675,,10.5601,-12.032,-5.8868,1.191,5.5073,4.1143,-2.1346,,7.2986,-9.7524,2.9964,21.8358,-10.2921,,,,,,,,,,,,,,,4,,-3.5519,1.9374,,6.3335,,14.0841,7.4259,3.481,1.9999,2.6265,1.1731,16.8886,,-2.3563,16.3668,8.8519,28.325,-3.5519,,,,,,,,,,,,,,,4,,-4.8935,-0.509,,-13.1303,,1.9435,-9.65,-3.1146,-1.4112,5.2913,2.0151,-7.4576,,7.5204,-13.7618,-2.5525,-3.8368,-4.8935,,,,,,,,,QC'd by NIEHS/NTP
502,17389162,9128,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-gr-hela-antagonist-ntp-p1/AB08582952-01/24060987,,Inactive,,,,,,,,,,4,,-12.3244,-13.5328,,-6.453,,-13.186,-15.174,11.9157,3.5845,-1.8302,-24.9267,-7.6894,,-18.3494,1.2996,0.4278,-2.212,-12.3244,,,,,,,,,,,,,,,4,,15.8515,1.607,,12.1375,,-0.7568,7.9115,7.0715,6.0203,2.2915,-11.692,2.5925,,2.4257,12.1387,9.0526,3.2664,15.8515,,,,,,,,,,,,,,,4,,-17.5108,-11.0237,,-11.2911,,-5.6146,-13.761,2.0932,-4.747,-1.2428,-9.8226,-5.2673,,-12.663,-8.1843,-6.3319,-5.0679,-17.5108,,,,,,,,,QC'd by NIEHS/NTP
503,17389163,9153,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/nucrecep-gr-hela-antagonist-ntp-p1/AB07935028-01/24060139,,Fluorescent,39.8107,32.0594,,Partial curve; high efficacy,-4.35,3.9295,0.9204,175.242,-2.8307,2.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0,185.153,-17.6751,,-5.0385,,-0.8274,-22.2335,-12.3319,15.0563,2.6769,2.452,-9.2897,,1.8444,24.7183,-6.0485,51.9607,185.153,,,,,,,,,Partial curve; partial efficacy; poor fit,-4.35,3.5117,0.8285,68.0673,-6.7169,2.4,0 0 0 1 0 0 0 0 0 0 0 0 0 0,72.891,-16.6863,,5.3682,,-17.3863,35.4215,-4.707,-0.7719,4.8779,-18.1404,-16.3927,,-4.2581,5.059,-5.6815,13.5453,72.891,,,,,,,,,Partial curve; partial efficacy; poor fit,-4.4,4.9549,0.7594,30.8422,-1.2172,2.4,0 0 0 1 0 0 0 0 0 0 0 0 0 0,31.5755,-6.907,,-9.9557,,7.3875,-28.4142,-7.6488,1.2434,-3.4295,5.8675,0.8511,,-1.1003,4.1083,-5.251,11.9059,31.5755,,,,,,,,,QC'd by NIEHS/NTP
