PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Activity Summary,Ratio Activity,Ratio Potency (uM),Ratio Efficacy (%),530 nm Activity,530 nm Potency (uM),530 nm Efficacy (%),460 nm Activity,460 nm Potency (uM),460 nm Efficacy (%),Viability Activity,Viability Potency (uM),Viability Efficacy (%),Sample Source
55,144203606,122820,Inconclusive,5,,,inconclusive,active agonist,27.8822,185.291,active antagonist,27.8822,-86.1803,active antagonist,24.85,-169,inconclusive antagonist,18.9959,-121.076,NCI
56,144203607,3151,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,4.01477,58.9693,inactive,,0,NCI
57,144203608,65758,Active,51,,,active antagonist,active antagonist,6.00704,-53.9623,inactive,,0,active antagonist,4.25266,-77.9309,inactive,,0,Bionet
58,144203609,5694,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
59,144203610,4614,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
60,144203611,71203,Inconclusive,10,,,inconclusive agonist,inconclusive agonist,4.56046,33.2367,inactive,,0,inconclusive agonist,4.56046,52.6641,inactive,,0,"Prestwick Chemical, Inc."
61,144203612,3061720,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
62,144203613,35370,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
63,144203614,2266,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
64,144203615,2170,Active,51,,,active antagonist,active antagonist,20.5113,-89.6939,inactive,,0,inconclusive antagonist,16.9301,-85.6359,inactive,,0,BIOMOL
65,144203616,1727,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,0,inactive,,0,BIOMOL
66,144203617,2081,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,0.636298,48.7716,inactive,,0,Microsource
67,144203618,1989,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
68,144203619,2130,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
69,144203620,169371,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
70,144203621,5283389,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
71,144203622,119,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
72,144203623,1967,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
73,144203624,1935,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
74,144203625,2265,Inconclusive,5,,,inconclusive,inconclusive agonist,13.4481,35.0384,inactive,,0,inactive,,0,inconclusive antagonist,4.25266,-24.9289,SigmaAldrich
75,144203626,135398513,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
76,144203627,2244,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
77,144203628,2141,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
78,144203629,1986,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
79,144203630,2230,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
80,144203631,16231,Inconclusive,5,,,inconclusive,inconclusive agonist,21.3138,92.1213,inactive,,0,inconclusive antagonist,26.8325,-147.657,inconclusive,,0,BIOMOL
81,144203632,564,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,84.185,inactive,,0,"Prestwick Chemical, Inc."
82,144203633,135401907,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NIEHS
83,144203634,2157,Inconclusive,25,,,inconclusive antagonist (cytotoxic),active antagonist,23.9145,-42.0975,inactive,,0,inconclusive antagonist,22.5767,-64.168,inconclusive antagonist,23.9145,-75.4672,BIOMOL
84,144203635,2119,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
85,144203636,2123,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
86,144203637,2196,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
87,144203638,4768,Inconclusive,5,,,inconclusive,inconclusive antagonist,28.4224,-33.4615,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
88,144203639,2471,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
89,144203640,2351,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
90,144203641,2284,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
91,144203642,2369,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
92,144203643,2477,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
93,144203644,2717,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
94,144203645,1687,Inconclusive,25,,,inconclusive antagonist (cytotoxic),inconclusive antagonist,21.3138,-62.9816,inactive,,0,inconclusive antagonist,26.8325,-118.667,inconclusive antagonist,23.9145,-90.9572,BIOMOL
95,144203646,2765,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
96,144203647,2708,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
97,144203648,2578,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
98,144203649,2754,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,4.25266,39.9838,inconclusive agonist,9.52052,50.99,inactive,,0,Microsource
99,144203650,6241,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
100,144203651,22420,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
101,144203652,72276,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
102,144203653,2727,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
103,144203654,4211,Active,50,,,active antagonist,active antagonist,14.2449,-66.6535,inactive,,0,inconclusive antagonist,21.3138,-89.1905,inactive,,0,SigmaAldrich
104,144203655,2554,Inconclusive,20,,,active agonist,active agonist,11.3152,56.6559,inactive,,0,inconclusive agonist,5.35378,43.6277,inactive,,0,SigmaAldrich
105,144203656,2733,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,,0,inactive,,0,"Prestwick Chemical, Inc."
106,144203657,2756,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,0,inactive,,0,BIOMOL
107,144203658,2720,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,1.5089,43.6504,inactive,,0,NIEHS
108,144203659,5309446,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive antagonist,,0,"Prestwick Chemical, Inc."
109,144203660,1547484,Inconclusive,5,,,inconclusive,inconclusive antagonist,,-26.1519,inactive,,0,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
110,144203661,1355,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
111,144203662,2812,Active,61,,,active antagonist,active antagonist,6.44182,-123.011,inactive,,0,active antagonist,8.10977,-138.217,inactive,,0,"Prestwick Chemical, Inc."
112,144203663,2913,Inconclusive,5,,,inconclusive,active agonist,26.8325,276.109,active antagonist,26.8325,-93.429,active antagonist,26.8325,-165.195,active antagonist,26.8325,-121.165,BIOMOL
113,144203664,135398737,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
114,144203665,4652,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
115,144203666,64927,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
116,144203667,2796,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
117,144203668,2801,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,13.4481,76.8204,inactive,,0,BIOMOL
118,144203669,2803,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive antagonist,,0,BIOMOL
119,144203670,2753,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
120,144203671,2726,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive,,0,inactive,,0,BIOMOL
121,144203672,2762,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
122,144203673,2576,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
123,144203674,19379,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
124,144203675,2910,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
125,144203676,104920,Inconclusive,5,,,inconclusive,inconclusive agonist,30.1065,110.377,active antagonist,23.0141,-86.1354,active antagonist,18.9959,-180.512,active antagonist,23.0141,-134.524,BIOMOL
126,144203677,36811,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
127,144203678,3100,Inconclusive,5,,,inconclusive,inconclusive agonist,,5.01084,inactive,,0,inactive,,0,inactive,,0,BIOMOL
128,144203679,10649,Inconclusive,5,,,inconclusive,inconclusive agonist,6.08147,61.3105,inactive,,0,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
129,144203680,65327,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
130,144203681,6419921,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
131,144203682,3053,Inconclusive,5,,,inconclusive,inconclusive agonist,,0,inactive,,0,inactive,,0,inactive,,0,Labotest
132,144203683,3019,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
133,144203684,3108,Inconclusive,5,,,inconclusive,active antagonist,10.6822,-34.2848,active agonist,20.5113,94.258,active agonist,16.9301,145.692,inactive,,0,BIOMOL
134,144203685,4943,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
135,144203686,9363,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
136,144203687,9363,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
137,144203688,53708,Active,54,,,active antagonist,active antagonist,0.881713,-43.1265,inactive,,0,active antagonist,1.5089,-30.7917,inactive,,0,SigmaAldrich
138,144203689,8307,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
139,144203690,72016,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
140,144203691,3194,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,10.6822,-77.9683,inactive,,0,SigmaAldrich
141,144203692,6207,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
142,144203693,3396,Inconclusive,5,,,inconclusive,active agonist,27.8822,243.707,active antagonist,22.5767,-98.8377,active antagonist,20.5113,-208.596,active antagonist,21.3138,-123.887,BIOMOL
143,144203694,3433,Inconclusive,5,,,inconclusive,inconclusive antagonist,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
144,144203695,3386,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive,,0,inactive,,0,BIOMOL
145,144203696,3331,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
146,144203697,3372,Inconclusive,5,,,inconclusive,inconclusive,,0,inactive,,0,inconclusive antagonist,26.8325,-115.045,inactive,,0,BIOMOL
147,144203698,3339,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
148,144203699,3373,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
149,144203700,3442,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
150,144203701,3385,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NIEHS
151,144203702,3356,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
152,144203703,3341,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
153,144203704,3325,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
154,144203705,3397,Inconclusive,5,,,inconclusive,inconclusive agonist,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
155,144203706,3333,Active,54,,,active antagonist,active antagonist,12.9418,-99.0189,inactive,,0,active antagonist,12.6958,-82.4748,inactive,,0,SigmaAldrich
156,144203707,3478,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
157,144203708,3446,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,,0,inactive,,0,"Prestwick Chemical, Inc."
158,144203709,3488,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
159,144203710,71401,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,0,inactive,,0,BIOMOL
160,144203711,135398740,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,,0,inactive,,0,"Prestwick Chemical, Inc."
161,144203712,5280961,Inactive,0,,,inactive,inactive,,0,inconclusive antagonist,13.4481,-26.0155,inconclusive antagonist,16.9301,-77.9031,inactive,,0,SigmaAldrich
162,144203713,3559,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive antagonist,,0,BIOMOL
163,144203714,9351,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
164,144203715,5702293,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
165,144203716,3639,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
166,144203717,774,Inconclusive,10,,,inconclusive agonist,inconclusive agonist,26.8325,62.1819,inactive,,0,inconclusive agonist,,0,inactive,,0,BIOMOL
167,144203718,681,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
168,144203719,3657,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
169,144203720,785,Inconclusive,5,,,inconclusive,inconclusive,,0,inactive,,0,inconclusive antagonist,28.4224,-68.055,inactive,,0,NIEHS
170,144203721,3672,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,0,inactive,,0,SigmaAldrich
171,144203722,55918,Active,50,,,active antagonist,active antagonist,2.13138,-32.2526,inactive,,0,active antagonist,1.79333,-43.3828,inactive,,0,SigmaAldrich
172,144203723,3779,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
173,144203724,54459,Inconclusive,5,,,inconclusive,active agonist,3.01065,68.1688,inactive,,0,inactive,,0,inactive,,0,BIOMOL
174,144203725,3696,Inconclusive,10,,,inconclusive agonist,inconclusive agonist,6.74001,29.0751,inactive,,0,inconclusive agonist,23.9145,62.9301,inactive,,0,BIOMOL
175,144203726,133621,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
176,144203727,3827,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,0,inactive,,0,BIOMOL
177,144203728,3932,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
178,144203729,3965,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
179,144203730,3878,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive agonist,0.636298,32.2797,SigmaAldrich
180,144203731,3955,Inconclusive,5,,,inconclusive,inconclusive antagonist,23.9145,-75.6242,inactive,,0,inconclusive,,0,inactive,,0,BIOMOL
181,144203732,39562,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
182,144203733,3899,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
183,144203734,3676,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,0,inactive,,0,BIOMOL
184,144203735,3883,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
185,144203736,3957,Inconclusive,25,,,inconclusive antagonist (cytotoxic),active antagonist,21.3138,-89.6243,inactive,,0,active antagonist,26.8325,-81.2361,inconclusive antagonist,16.9301,-53.1413,BIOMOL
186,144203737,4170,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
187,144203738,65710,Inconclusive,5,,,inconclusive,active agonist,4.77156,34.3608,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
188,144203739,4168,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive,,0,inactive,,0,BIOMOL
189,144203740,4122,Inconclusive,20,,,active agonist,active agonist,0.785827,140.544,inactive,,0,active agonist,0.72777,141.349,inconclusive antagonist,,0,Microsource
190,144203741,4810,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive antagonist,,0,"Prestwick Chemical, Inc."
191,144203742,4184,Inconclusive,5,,,inconclusive,inconclusive agonist,26.8325,281.555,inconclusive antagonist,23.9145,-63.6948,inconclusive antagonist,18.9959,-157.724,active antagonist,26.8325,-114.533,BIOMOL
192,144203743,5353788,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive antagonist,,0,"Prestwick Chemical, Inc."
193,144203744,4201,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
194,144203745,6420039,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
